nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Bonita,1 porsi (40 g),150,4g,25g,3g,,"25,00g"
Vege Biscuit,1 porsi (30 g),150,7g,19g,3g,,"0,0g"
Stringers,1 stick (20 g),62,"4,5g","0,4g","5,1g",,"0,40g"
Garlic Cheese Spread,1 porsi (30 g),80,8g,2g,2g,,115mg
Siip,1 kemasan (10 g),60,"3,5g",6g,1g,,"1,00g"
Klik Crackers,6 keping (24 g),120,6g,16g,2g,,"1,0g"
Cheese Cocktail,5 pieces (50 g),110,7g,5g,7g,,"5,00g"
Classic Cheese,1 bungkus (85 g),370,16g,50g,7g,,"7,00g"
Pateta Keju,4 pcs (100 g),239,4g,28g,9g,,
All in 1 Cheddar,1 takaran saji (20 g),50,4g,3g,2g,,"2,00g"
Cream Cheese Neufchatel,1 porsi (50 g),120,11g,1g,4g,,"1,00g"
Macaroni with Cheese,1 bungkus (63 g),230,3g,45g,8g,,"7,0g"
Cheese Flavoured Rings,1 porsi (20 g),100,5g,13g,1g,,"3,00g"
Richeese Roll's,1 kemasan (10 g),40,"1,5g",6g,0g,,0mg
Cornetto Boba Brown Sugar Cheese,1 cone (135 ml),220,8g,34g,3g,"2,0g","1,500g"
Roti Sandwich Keju,1 porsi (49 g),160,8g,20g,3g,,"20,00g"
Cheesy Fries,100 g,228,11g,33g,2g,875mg,0mg
Cheese Breadstick,1 stick (56 g),170,6g,20g,8g,"1,0g","0,000g"
Pow! Donat Cheese Flavour,1 porsi (7 g),40,2g,4g,0g,,"1,00g"
Mascarpone,100 g,337,35g,"4,8g","1,7g",,"4,80g"
Say Cizz,1 serving (20 g),103,6g,9g,4g,,
Morbier,100 gram (g),363,"28,01g","0,63g","26,66g","0,36g","8,647g"
Sandwich Melted Cheese,1 bungkus (50 g),160,7g,21g,3g,,"3,00g"
Keju Mozarella,1 porsi (250 g),920,64g,22g,63g,,820mg
Japanese Cheese Cake,1 porsi (33 g),100,5g,10g,3g,95mg,75mg
Herbs & Spices Cream Cheese,1 porsi (25 g),47,"3,9g",1g,"1,9g",118mg,17mg
Cheese Stick,2 pcs (12 g),50,2g,6g,3g,,"6,00g"
Cottage Cheese,100 g,85,"2,2g","6,1g",10g,,"6,10g"
Malkist Keju Panggang,1 porsi (20 g),100,4g,13g,2g,,"13,00g"
Smokey BBQ Slices,"1 slice (16,7 g)",55,"4,3g","1,1g","2,9g",,"2,90g"
Biskuit Gabin Keju,1 serving (22 g),100,3g,17g,1g,70mg,0mg
Tok-Poki Spicy Cheese,1 porsi (150 g),360,3g,77g,7g,,"7,00g"
Kukis Keju,1 porsi (17 g),80,3g,13g,0g,,"13,00g"
Famous Star with Cheese,1 porsi (286 g),670,37g,57g,28g,,75mg
New York Cheesecake,1 porsi (121 g),470,"32,7g","36,3g","7,5g",,
Malkist Keju Tabur,"1 porsi (16,5 g)",80,"3,5g",10g,2g,"1,00g","0,000g"
Malkist Tabur Keju (3),"3 keping (16,5 g)",80,"3,5g",10g,2g,,"10,00g"
Bakso Keju,100 g,160,8g,9g,13g,,"1,00g"
Choco Cheese Slice,1 porsi (15 g),50,3g,5g,1g,,"1,00g"
Cheez Dippers,1 porsi (35 g),101,"5,6g","8,9g","3,5g",,"8,90g"
Chizmill Keju,1 porsi (20 g),90,"3,5g",14g,1g,,"14,00g"
Fitbar Cheese Delight,1 bar (20 g),90,"3,5g",15g,2g,40mg,0mg
Bolu Keju,1 bungkus (50 g),180,9g,20g,4g,,"4,00g"
Mozza Cheese,1 potong (15 g),50,4g,1g,2g,,"1,00g"
Roti Panggang Aoka,1 bungkus (38 g),140,6g,20g,3g,,3mg
Ring Cheese Flavour,1 takaran saji (12 g),60,"3,5g",7g,1g,,"7,00g"
Cheese Bratswurst Sausage,1 sausage (72 g),190,12g,10g,10g,,"10,00g"
Ramen Keju Pedas,1 porsi (60 g),270,11g,36g,6g,,"36,00g"
Dory Fire with Cheese Sauce & Butter Brown Rice + Cheesy Wedges,1 porsi,469,13g,46g,42g,,"6,0g"
Cheddar Singles,1 porsi (15 g),45,3g,1g,2g,,"2,00g"
Pasta Keju,1 bungkus (6 g),35,"2,5g",3g,0g,,3mg
Ricotta Cheese,100 g,220,18g,4g,9g,250mg,55mg
Super Ring,1 porsi (14 g),80,6g,7g,1g,,
Bakmi Mewah Goreng Rasa Bulgogi,1 takaran saji (50 g),200,9g,24g,6g,,"6,00g"
Spready,1 porsi (20 g),70,6g,4g,1g,,"4,00g"
Cheese Ramen,1 porsi (111 g),470,16g,73g,9g,,"9,00g"
Mascarpone,1 porsi (50 g),190,19g,3g,2g,,"0,00g"
Shred Cheese,1 porsi (15 g),45,"2,5g",5g,0g,,"0,00g"
Keju Martabak,1 takaran saji (30 g),100,7g,4g,4g,,"4,00g"
Roti Sobek Isi Cokelat Keju,2 potong (118 g),410,16g,58g,9g,,"9,00g"
Taro Puff Crunchy Cheese,1 sajian (10 g),45,"1,5g",7g,1g,,0mg
Fish Dumpling Cheese,1 buah (20 g),30,"1,5g",2g,2g,,"2,00g"
Cheese Triangles,"1 porsi (17,5 g)",70,6g,2g,3g,,10mg
Macaroni & Cheese,1 porsi (115 g),470,13g,69g,18g,,"18,00g"
The Big Carl,1 porsi (321 g),920,58g,56g,47g,1380mg,140mg
Udang Keju,100 g,370,26g,27g,6g,,
Bocconcini Cheese,1 serving (33 g),70,6g,1g,5g,,"5,00g"
Creamy Cheese Cake,1 porsi (75 g),300,16g,36g,4g,,"4,00g"
Western Bacon Cheeseburger,1 porsi (250 g),750,35g,75g,36g,1650mg,80mg
Makaroni Krispi Keju Pedas,1 takaran saji (20 g),90,2g,15g,2g,220mg,0mg
Love Heart,1 takaran saji (10 g),50,3g,6g,1g,,"6,00g"
Buldak Cheese,1 bungkus (140 g),550,18g,84g,13g,1440mg,0mg
Sandwich Melted Cheese,1 porsi (50 g),160,7g,21g,3g,,"3,00g"
Cookiez Krim Keju Garing,1 bungkus (20 g),90,4g,13g,1g,,"13,00g"
Roti Isi Keju,1 bungkus (100 g),160,4g,28g,4g,,"4,00g"
Singles Light 25% Kurang Lemak,1 lembar (17 g),40,"2,5g",2g,3g,"0,0g","0,000g"
Ricotta Cheese,1 porsi (50 g),110,9g,2g,4g,,"4,00g"
Roti Manis Kasur Kombinasi,1 takaran saji (90 g),300,8g,48g,8g,,"8,00g"
Cedda Cheese Slice,1 slice (15 g),45,"3,5g",3g,1g,,"1,00g"
Chicken Philly Cheese Steak with Potato Wedges,1 porsi,468,12g,47g,43g,,"6,0g"
Roti Manis Cokelat Susu,2 potong (90 g),310,10g,49g,7g,,"7,00g"
Cheese Stick Coklat,1 porsi (24 g),80,4g,7g,3g,,"3,00g"
Roti Sandwich Isi Krim Keju,1 porsi (50 g),160,6g,25g,3g,250mg,0mg
The Big Cheez,100 g,514,35g,53g,7g,1120mg,0mg
Cheese Long Wafer,1 porsi (20 g),100,"3,5g",15g,1g,,"15,00g"
Roti Krim Keju,1 bungkus (60 g),200,7g,31g,3g,,"3,00g"
Cheese Spread,1 porsi (15 g),45,"4,5g",1g,1g,,"1,00g"
Mild Cheese,1 saji (15 g),45,3g,3g,1g,,"3,00g"
Rich Cheese,1 porsi (15 g),45,"3,5g",2g,2g,,"2,00g"
Roti Isi Keju,1 porsi (58 g),160,4g,28g,4g,,"4,00g"
Roti Manis Keju Susu,1 potong (90 g),280,9g,40g,8g,,"8,00g"
Cheese Stick BBQ,1 porsi (12 g),35,"2,5g",2g,2g,,"2,00g"
Super Slices,"1 slice (20,8 g)",63,"5,3g","0,6g","3,4g",,0mg
Keju Parut Romano,1 sdm,22,"1,43g","0,2g","1,92g","0,04g","0,419g"
Keju Mozzarella tanpa Lemak atau Bebas Lemak,1 batang,42,0g,"0,98g","8,88g","0,41g",0g
Siip Keju,1 bungkus  (5 g),25,"1,5g",3g,0g,,0mg
Krim Keju,1 bungkus (69 g),200,7g,31g,3g,220mg,0mg
Keju Gorgonzola,1 irisan seukuran-kerupuk,21,"1,72g","0,14g","1,28g","0,03g","0,467g"
Gold Cake Original Japanese Cake,1 porsi (32 g),90,4g,10g,3g,,"10,00g"
Keju American Bebas Lemak,1 iris (21 g),31,"0,17g","2,81g","4,72g","2,09g","0,048g"
Cheese Ring Ghost Pepper,1 porsi (15 g),80,"4,5g",9g,1g,,"9,00g"
Cheese Sausage,100 g,210,16g,4g,12g,,590mg
Saltcheese Sweet & Spicy,5 keping (20 g),90,3g,14g,2g,,"0,0g"
