nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Mie Goreng Rasa Ayam Pop,1 bungkus (85 g),390,15g,55g,7g,,"7,00g"
Sayap Ayam dengan Kulit Panggang atau Goreng (Kulit/Lapisan Dimakan),"1 kecil (hasil setelah masak, tulang dihilangkan)",137,"9,16g","4,64g","8,45g","0,1g","3,732g"
Mie Goreng Ayam Pangsit,1 bungkus (110 g),510,21g,70g,10g,,"10,00g"
Mie Goreng Ayam Krispi,1 bungkus (88 g),400,15g,58g,8g,930mg,0mg
Bumbu Racik Ayam Goreng,1 porsi (5 g),10,0g,2g,0g,,"2,00g"
Ayam Goreng Mcd Spicy,100 g,273,"16,8g","9,9g",19g,,"0,00g"
Bumbu Ayam Goreng Bacem,1 potong (15 g),40,0g,9g,0g,,0mg
Nori Rasa Ayam Goreng,1 porsi (4 g),30,"2,5g",1g,1g,35mg,0mg
Bumbu Ayam Goreng Lengkuas,1 bungkus (90 g),190,15g,11g,2g,,
Mi Goreng Ayam Geprek,1 bungkus (85 g),410,20g,49g,9g,900mg,0mg
Paha Ayam Panggang atau Goreng dengan Kulit (Kulit/Lapisan Dimakan),"1 kecil (hasil setelah masak, tulang dihilangkan)",211,"12,58g","7,49g","16,03g","0,17g","5,312g"
Dada Ayam Goreng Ada Lapisan (Kulit tidak Dimakan),"1/2 kecil (hasil setelah masak, tulang dan kulit dihilangkan)",138,"3,51g",0g,"25,01g",0g,"1,292g"
Ayam Goreng Mcd - Regular,100 g,223,"11,9g","9,1g","18,9g",,1000mg
Dada Ayam Goreng tanpa Pelapis (Kulit Dimakan),"1/2 kecil (hasil setelah masak, tulang dihilangkan)",181,"7,64g",0g,"26,6g",0g,"3,009g"
Kulit Ayam Goreng,100 g,550,39g,37g,12g,,"2,00g"
Piattos Ayam Goreng,1 takaran (20 g),100,"4,5g",14g,1g,160mg,0mg
Sayap Ayam Goreng tanpa Pelapis (Kulit Dimakan),"1 kecil (hasil setelah masak, tulang dihilangkan)",89,"6,33g",0g,"7,56g",0g,"2,504g"
Paha Ayam Goreng tanpa Pelapis (Kulit Dimakan),"1 sedang (hasil setelah masak, tulang dihilangkan)",119,"6,79g",0g,"13,6g",0g,"2,67g"
Ayam Goreng tanpa Pelapis (Kulit Dimakan),"1 irisan tipis (sekitar 5 cm x 4 cm x 0,3 cm)",18,"1,07g",0g,2g,0g,"0,427g"
