nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Dancow Full Cream,3 sendok makan (27 g),120,8g,11g,6g,,
Susu Coklat,1 gelas,190,"5,25g","28,88g","7,7g","24,02g","1,38g"
UHT Full Cream Milk,1 gelas (250 ml),160,9g,12g,8g,75mg,25mg
Purefarm Full Cream,1 gelas (225 g),130,7g,10g,7g,,"7,00g"
Low Fat Milk,1 gelas (250 ml),110,3g,12g,9g,"0,0g","0,000g"
Kental Manis,2 sendok makan (40 g),130,4g,23g,1g,,"1,00g"
Susu UHT Low Fat High Calcium,1 kotak (250 ml),90,"2,5g",11g,7g,,10mg
Susu Kental Manis,1 sendok (40 g),130,4g,23g,1g,35mg,2mg
Susu UHT Full Cream (250ml),1 pak (250 ml),150,8g,12g,8g,"10,00g","3,000g"
Susu,1 gelas,122,"4,88g","11,49g","8,03g","12,59g","1,301g"
Susu Skim Coklat,1 gelas,140,"0,7g","27,22g","8,55g","25,4g","0,285g"
Susu Full Cream,1 kotak (250 ml),150,8g,11g,8g,"5,00g","4,000g"
Soya Bean Milk Original,1 gelas (250 ml),188,"8,5g",21g,8g,"15,00g","3,200g"
Susu Uht Full Cream,1 gelas (225 ml),130,7g,10g,7g,,"7,00g"
Fresh Milk Banana,1 kotak (250 ml),160,5g,22g,5g,310mg,5mg
Esensis,3 sdm (40 g),150,1g,29g,6g,150mg,0mg
Milk Wafer Cream,1 porsi (48 g),290,22g,22g,2g,,"19,00g"
Dairy Milk Cashew Nut,1 porsi (30 g),160,10g,16g,3g,,"3,00g"
Cereal Drink Vanilla Flavor,1 bedak wangi (30 ml),130,"3,5g",24g,1g,,"1,00g"
Lowfat High Calcium Coffee Milk,1 cangkir (200 ml),160,2g,26g,6g,,
Susu Putih Manis,1 porsi (180 ml),140,6g,16g,6g,,"14,00g"
Soybean Milk Sweetened,1 gelas (300 ml),150,"3,5g",26g,5g,,"26,00g"
Pistachio Milk,1 porsi (180 ml),45,3g,4g,1g,,"4,00g"
Susu,1 sachet (40 g),170,4g,25g,5g,"0,0g","0,000g"
Purefarm Swiss Chocolate (180ml),1 pak (180 g),130,4g,19g,4g,,"4,00g"
Susu Skim,1 gelas (250 ml),80,0g,12g,8g,90mg,0mg
High Fiber Milk Vanilla,1 gelas (40 g),150,1g,25g,10g,360mg,0mg
Kefir,1 gelas,135,"7,1g","10,4g","7,43g","11,96g","1,785g"
Dancow Fortigro Cokelat,1 box (180 ml),120,4g,17g,4g,,"4,00g"
Soya Bean Drink,1 serving (200 ml),110,"2,5g",15g,6g,,0mg
Weight Gain,1 gelas (50 g),200,5g,25g,15g,,"15,00g"
Susu Coklat,1 gelas (14 g),60,"1,5g",10g,1g,20mg,0mg
Swizz Chocolate Milk,1 bedak wangi (40 g),170,3g,30g,5g,50mg,6mg
Choco Hazelnut,1 bedak wangi (14 g),60,"1,5g",11g,1g,"9,00g","0,000g"
Susu Segar Tawar,1 porsi (250 ml),160,9g,12g,8g,,"8,00g"
Fresh Milk Choco Sea Salt,1 serving (250 ml),250,9g,33g,8g,400mg,25mg
Taro Milk Tea,1 cup reguler (500 ml),399,12g,70g,2g,,"54,50g"
Fortigro Vanilla,3 sendok makan (27 ml),120,6g,14g,5g,90mg,20mg
Pearl Milk Tea,1 cup reguler (500 ml),374,11g,67g,1g,,"31,00g"
Susu Bubuk Full Cream Plain,1 gelas (27 g),130,7g,11g,6g,340mg,10mg
Kompleta Vanila,4 sdm (30 g),120,"2,5g",19g,4g,,"4,00g"
Teen Chocolate Tinggi Kalsium Rendah Lemak,1 gelas (200 ml),180,3g,32g,7g,120mg,5mg
Entrasol Active,1 cangkir (32 g),130,2g,21g,7g,150mg,0mg
Susu Jahe,1 sachet (40 g),130,4g,23g,1g,100mg,"1,00g"
Kacang Hijau with Soy Milk,1 kotak (200 ml),110,"2,5g",18g,6g,,"10,00g"
Chocolate Flavor Nutritious Drink,2 bedak wangi (50 g),200,6g,27g,12g,,
Susu (tanpa Lemak dengan Tambahan Vitamin A),1 gelas,83,"0,2g","12,15g","8,26g","12,47g","0,115g"
Susu Vanila,1 porsi (20 g),80,2g,11g,5g,300mg,5mg
Low Fat High Calcium Californian Strawberry,1 porsi (250 g),130,"2,5g",20g,7g,,"11,00g"
Prostar 100% Casein Protein,2 skop (33 g),300,3g,"38,5g","27,5g",68mg,20mg
Super Mass Gainer,1 scoop (167 g),640,4g,126g,26g,150mg,18mg
Nu Milk Tea,1 porsi,170,3g,32g,3g,,"25,00g"
WRP Everyday 200,1 gelas (50 g),200,3g,32g,11g,,0mg
Susu UHT Rasa Cokelat,1 sajian (200 ml),150,"4,5g",23g,4g,70mg,15mg
Minuman Serbuk Kedelai,1 sendok (50 g),220,6g,31g,11g,,"11,00g"
Fresh Milk Coffee,1 botol (200 ml),150,5g,19g,4g,,"4,00g"
Serious Mass,2 scoops (334 g),1250,"4,5g",252g,50g,1560mg,"50,00g"
Active Chocolate,1 gelas (40 g),160,"2,5g",28g,6g,260mg,0mg
Susu UHT,1 kantong (150 ml),120,4g,17g,3g,,"17,00g"
Low Fat Mochaccino,1 kotak (200 ml),130,2g,22g,6g,125mg,10mg
Banana Milk,1 porsi (190 ml),160,5g,24g,6g,"3,0g","1,000g"
Low Fat Hi Calcium,1 porsi (200 ml),110,2g,16g,6g,320mg,20mg
N-Pro,"1 scoop (36,3 g)",150,2g,6g,26g,,"26,00g"
Platinum Swiss Chocolate,1 bedak wangi (35 g),130,2g,21g,8g,270mg,0mg
Susu (tanpa Lemak dengan Tambahan Vitamin A dan Protein),1 gelas,101,"0,62g","13,68g","9,74g",145mg,"0,16g"
2% Lemak Susu,1 gelas,122,"4,81g","11,42g","8,05g","12,35g","1,366g"
SKM Coklat,1 sendok (42 g),140,4g,24g,1g,50mg,3mg
Vanila,1 kemasan (175 ml),120,3g,20g,6g,,10mg
Go-Fruit Banana,1 bedak wangi (33 g),150,4g,26g,2g,,"2,00g"
Susu Almond Manis,1 gelas,59,"3,51g","6,33g","1,48g","5,3g","2,233g"
Lose Weight,1 sachet (54 g),210,"1,5g",33g,14g,260mg,0mg
Dancow Fortigro,1 gelas (25 g),120,7g,10g,6g,,"6,00g"
Rasa Kacang Hijau,1 sachet (35 g),150,"3,5g",27g,3g,,"3,00g"
UHT Milk Low Fat High Calcium,1 takaran saji (200 ml),80,"2,5g",9g,6g,240mg,10mg
Purefarm Kacang Hijau,1 kotak (225 g),140,3g,22g,6g,370mg,5mg
Strawberry Milk,1 porsi (200 ml),160,6g,21g,6g,60mg,15mg
Bear Brand Gold Teh Putih,1 kaleng (140 ml),70,2g,10g,4g,,4mg
Bear Brand Malt Putih,1 kaleng (140 ml),120,"1,5g",23g,3g,,"3,00g"
Protein Mix Coffee,1 porsi (33 g),120,"0,5g",17g,12g,"15,00g","0,000g"
Oat Milk,100 ml,59,3g,"6,6g",1g,,"1,00g"
Sari Kacang Ijo,1 kotak (200 ml),110,0g,26g,2g,"7,0g","0,000g"
Advanced Whey Protein,1 gelas (36 g),140,"2,5g",14g,15g,,0mg
Susu,1 gelas (230 ml),190,6g,26g,7g,"8,00g","4,500g"
