nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Roti Multigrain,1 irisan reguler,65,"0,99g","12,06g","2,6g",127mg,0mg
Butter Croissant,1 porsi (62 g),250,14g,26g,5g,,"5,00g"
Makan Malam Roti Gandum,1 gulung (28 g),76,"1,76g","12,88g","2,41g",95mg,0mg
Roti Pandan Coklat Srikaya,2 potong (90 g),310,10g,47g,9g,,"9,00g"
Klasik Pan Susu,1 porsi (40 g),110,1g,22g,4g,,"1,0g"
Steam Cake Choco Flavor,1 serving (80 g),300,13g,40g,4g,,"40,00g"
Roti Tawar Pandan,100 g,290,5g,52g,8g,,"3,00g"
Roti Sandwich Isi Custard Banana,1 porsi (50 g),150,"4,5g",24g,3g,,"24,00g"
Roti High Garden,100 g,259,"4,3g","47,7g","9,7g",,"2,3g"
Croissant Creamy Chocolate,1 piece (60 g),240,10g,32g,6g,0mg,"6,00g"
Potato Bun with Chocolate Filling,1 potong (70 g),220,7g,34g,5g,,160mg
Roti Krim Vanila Blueberry,1 porsi (70 g),270,10g,39g,6g,,"7,00g"
Roti Panggang Es Teler,1 bungkus  (65 g),210,5g,37g,5g,,"8,00g"
Bruschetta,1 buah,305,"27,42g","15,15g","2,32g",,
Chiffon Stroberi,1 buah (51 g),170,6g,23g,4g,,"23,00g"
Myroti Kupas,3 potong (94 g),220,"3,5g",40g,7g,,"40,00g"
Krim Cokelat Vanila,1 takaran saji (60 g),200,6g,32g,5g,,"32,00g"
Roti Tawar Funwari Gandum,100 g,260,"3,5g",49g,8g,,"49,00g"
Sandwich Klasik Margarin Manis,1 porsi (40 g),140,6g,18g,3g,,"18,00g"
Sakura Steamed Cake,1 bungkus (90 g),310,12g,43g,6g,,"20,00g"
Roti Sisir Klasik Margarin Gula,2 servings (60 g),240,11g,32g,4g,,"12,00g"
Steamed Cheese Cake,1 bungkus (80 g),170,9g,36g,6g,,"36,00g"
Roti Sobek Isi Custard,2 potong (118 g),350,10g,58g,9g,,"58,00g"
Sandwich Kacang,1 bungkus (42 g),130,5g,17g,5g,,"5,00g"
Roti Sobek,1 potong (118 g),390,11g,64g,8g,,"64,00g"
Wholemeal,100 g,249,"2,1g","43,2g","12,2g",430mg,"0,400g"
Funwari Roll Kacang Merah Mentega,1 bungkus (67 g),220,7g,33g,4g,,"33,00g"
Krim Cokelat Chocolate,1 porsi (60 g),220,8g,32g,4g,,"32,00g"
Roti Bagelen,4 buah (40 g),180,7g,26g,4g,,"10,00g"
Roti Sandwich,1 porsi (91 g),270,8g,43g,7g,0mg,"7,00g"
Roti Stick Original,1 porsi (68 g),290,13g,39g,5g,,"4,0g"
Multigrain Bread,2 slices (80 g),240,6g,38g,8g,,"2,0g"
Red Bean Bun,1 porsi (55 g),180,5g,29g,4g,,130mg
Soft Cheese,1 porsi (46 g),140,"4,5g",22g,4g,,"22,00g"
Muffin Vanilla,1 porsi (50 g),180,"0,5g",41g,4g,,"41,00g"
Roti Sandwich Pandan Sarikaya,1 porsi (49 g),140,3g,24g,3g,,"2,00g"
Kue Sus,1 porsi,182,"10,92g","16,48g","4,58g",237mg,91mg
Roti Kismis Panggang,1 irisan reguler,71,"1,15g","13,66g","2,06g",102mg,0mg
Roti Tawar Rasa Pandan,1 potong (74 g),210,4g,36g,7g,,"36,00g"
Roti Kentang,1 irisan reguler,90,"1,12g","17,21g","2,6g",232mg,0mg
Sandwich Gandum Kacang,1 potong (46 g),150,6g,19g,5g,0mg,"5,00g"
Roti Klasik Kasur Keju,1 potong (56 g),160,"4,5g",25g,5g,,"2,0g"
Pisang Roti (dengan Margarin),1 iris,196,"6,3g","32,76g","2,58g",80mg,26mg
Roti Sandwich Coklat,1 porsi (50 g),150,"4,5g",25g,4g,,"25,00g"
Puff Pastry,1 sheet (50 g),210,12g,21g,3g,,
Roti Italia,"1 iris, sedang",54,"0,7g",10g,"1,76g",117mg,0mg
Roti Canai Original,1 serving (58 g),164,"4,4g","26,5g","3,9g","15,60g","1,600g"
Wholemeal Bread,100 g,272,"2,7g",49g,"9,8g",,
Roti Gandum (Kalori Dikurangi),1 iris,46,"0,53g","10,03g","2,09g",118mg,0mg
Roti Manis Isi Keju,1 porsi (65 g),210,8g,29g,5g,,450mg
Roti Isi Krim Tiramisu,1 buah (69 g),260,9g,40g,4g,,"40,00g"
Roti Susu,1 porsi (40 g),120,2g,21g,4g,,600mg
Double Soft,1 lembar (45 g),130,2g,23g,4g,,"2,0g"
Cream Messes,1 bun (40 g),170,7g,24g,2g,,"8,00g"
My Roti Tawar,2 lembar (76 g),200,"3,5g",35g,7g,,"35,00g"
Coconut Biscuits,2 keping (20 g),90,"1,5g",16g,2g,,"16,00g"
Chocolate Bun,1 potong (45 g),140,"4,5g",23g,3g,,95mg
Roti Tawar Classic,1 lembar (52 g),150,"2,5g",27g,5g,200mg,"5,00g"
Bun Sambal Bilis,1 potong (60 g),190,7g,"25,3g","5,7g",,"1,1g"
Roti Cokelat,1 potong (65 g),260,11g,35g,5g,,
Funwari Cokelat Kacang,1 porsi (91 g),270,8g,43g,7g,,"6,0g"
Roti Manis Cokelat Susu,2 potong (90 g),310,10g,49g,7g,,"49,00g"
Roti Pita,"1 sedang (diameter 13,5 cm)",124,"0,54g","25,06g","4,1g",241mg,0mg
Roti Manis Cokelat Susu,1 potong (45 g),155,5g,"24,5g","3,5g",,"3,50g"
Roti Gandum,1 lembar (70 g),190,"3,5g",33g,6g,0mg,"6,00g"
Sandwich Blueberry,1 porsi (42 g),110,"1,5g",21g,3g,0mg,"3,00g"
Chocolate Croissant,1 porsi,93,2g,15g,2g,,"0,0g"
Roti Gandum Hitam Panggang,"1 iris, biasa",68,"0,86g","12,74g","2,26g",174mg,0mg
Roti Tawar Bundar,1 lembar (40 g),130,3g,21g,3g,,"2,00g"
Roti Sobek Cokelat Mocca,2 potong (118 g),380,12g,61g,8g,,"61,00g"
Lapis Bamkuhen Cokelat,1 porsi (45 g),220,14g,21g,4g,,"21,00g"
Roti Gandum Panggang,1 irisan reguler,68,"1,06g","12,32g","2,39g",138mg,0mg
Roti Putih (Kalori Dikurangi),1 iris,48,"0,58g","10,19g",2g,104mg,0mg
Bika Ambon,1 potong,185,"3,11g","37,34g","2,18g",64mg,45mg
Cinnamon Roll,1 roll (152 g),480,15g,79g,6g,,"6,00g"
Roti Sobek Isi Coklat Strawberry,1 potong (107 g),340,9g,57g,8g,,"57,00g"
Roti Canai,100 gram (g),318,"10,81g","47,83g","6,64g",597mg,0mg
Roti Sobek Coklat,100 g,340,9g,58g,7g,,"10,00g"
Roti Isi Krim Jagung Manis,1 porsi (50 g),180,7g,25g,4g,,"4,00g"
Creamy Cheese Cake,1 porsi (75 g),300,16g,36g,4g,,"36,00g"
Roti Krim Keju,1 bungkus (60 g),200,7g,31g,3g,,"31,00g"
Roti Manis dengan Choco Chips,2 potong (70 g),230,5g,40g,6g,,220mg
Roti Gandum Panggang 100%,1 irisan reguler,69,"1,2g","12,92g","2,72g",148mg,0mg
Whole Grain Bread,1 slice,166,"3,1g","26,6g","7,7g",,"7,70g"
Roti Gandum Hitam (Kalori Dikurangi ),1 iris,47,"0,67g","9,32g","2,09g",93mg,0mg
Roll Susu,1 porsi (65 g),200,"4,5g",35g,5g,,"35,00g"
Cheese Danish Bread,1 sajian (50 g),160,"3,5g",27g,4g,,"27,00g"
Roti Sandwich Coklat,1 kemasan (49 g),180,8g,24g,3g,,"9,00g"
Roti Sandwich Isi Spicy Bolognese,1 bungkus (52 g),100,"1,5g",19g,3g,"0,00g","0,000g"
Roti Gandum Pita,"1 sedang (diameter 13,5 cm)",123,"0,64g","25,11g","4,71g",188mg,0mg
Cheese Bread,1 slice (50 g),71,1g,12g,2g,,
Steamed Cheesecake,1 kemasan (90 g),310,11g,46g,6g,,"16,00g"
Tuna Cheese Panini,1 porsi,390,12g,49g,22g,,
Cheese Cake,1 pak (55 g),200,7g,25g,3g,,"25,00g"
Roti Manis Kasur Coklat,2 potong (90 g),238,5g,48g,8g,,"48,00g"
Roti Panggang Gandum Hitam,1 irisan reguler,68,"0,86g","12,74g","2,26g",174mg,0mg
Roombutter Keju,1 serving (40 g),180,9g,22g,2g,,"7,00g"
Roti Sobek Isi Cokelat Keju,2 potong (118 g),410,16g,58g,9g,,"58,00g"
Fire Floss,100 g,430,24g,40g,11g,60mg,"11,00g"
Roti Gandum Hitam,100 gram (g),259,"3,3g","48,3g","8,5g",660mg,0mg
Burger Ayam (Colonel's Burger),"1 porsi (127,96 g)",381,"19,27g","39,28g","12,52g",,
Roti Tawar Raisin,1 lembar (40 g),120,"2,5g",23g,3g,,"23,00g"
Roti Manis Choco Peanut,2 potong (90 g),340,14g,47g,7g,,"47,00g"
Tuna Bun,1 porsi,250,13g,20g,15g,,
Roti Gandum,1 slice (70 g),166,"3,1g","26,6g","7,7g",,206mg
Roti Kasur,1 porsi (35 g),170,4g,20g,3g,,"6,00g"
Roti Pisang Coklat,1 porsi (70 g),230,6g,38g,5g,,"13,00g"
Goguma Bread,1 porsi (150 g),103,"1,2g",19g,"3,2g",,"3,20g"
Roti Jagung (Muffin Jagung) (Campuran Kering),100 gram (g),418,"12,2g","69,5g",7g,113mg,2mg
Roti Manis Gandum Coklat,1 porsi (60 g),110,8g,35g,4g,0mg,"4,00g"
Chicken Floss Bun,1 potong,389,10g,30g,15g,,
Roti Isi Custard,1 bungkus (58 g),170,"4,5g",29g,4g,,"4,0g"
Roti Gandum 100%,1 irisan reguler,69,"1,18g","12,91g","2,72g",148mg,0mg
Chocolate Croissant,1 porsi (80 g),300,17g,34g,5g,,"5,00g"
Roti Tawar Tebal,2 lembar (85 g),250,"4,5g",44g,8g,,"4,00g"
Classic Tuna Toastie,1 porsi,327,"10,5g","40,8g","17,4g",,
Roti Kismis,1 iris,71,"1,14g","13,6g","2,05g",59mg,0mg
Roti Isi Keju,1 bungkus (100 g),160,4g,28g,4g,,"28,00g"
Roti Mini Isi Custard,1 porsi (43 g),130,"3,5g",21g,3g,,"21,00g"
Roti Adonan Asam,100 gram (g),274,3g,"51,9g","8,8g",609mg,0mg
Roti Tawar Gandum (1),1 lembar (35 g),90,"1,75g","15,5g",3g,,"15,50g"
