nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Rasa Cokelat Malt,1 kemasan (200 ml),150,3g,28g,4g,,"4,00g"
Sari Kue Brownies,1 porsi  (52 g),210,8g,30g,4g,,"30,00g"
Nitto,1 kemasan (17 g),80,4g,9g,1g,,"5,00g"
Milk Chocolate With Cashews,2 potong (20 g),110,7g,10g,2g,,"7,00g"
La Coco,1 porsi (24 g),110,4g,17g,2g,,"7,00g"
Berry White,1 saran penyajian (30 g),145,8g,16g,3g,,33mg
Hello Panda Double Choco,1 bungkus (8 g),40,2g,5g,0g,,"1,0g"
Chocolate Strawberry Layer Cake,1 porsi (16 g),64,"3,5g",7g,1g,,"7,00g"
Pejoy Chocolate,1 bungkus (32 g),160,8g,21g,3g,,115mg
Bonaco,1 porsi (20 g),100,"4,5g",14g,1g,,35mg
Dark Chocolate 100% Kakao,1 porsi (40 g),280,24g,10g,5g,,"0,00g"
Chocolate Delight,1 serving,124,"5,7g","16,3g","2,3g",,
Caramelrama,1 bungkus (10 g),50,"2,5g",7g,0g,,"7,00g"
Susu Cokelat,1 kotak  (110 ml),70,"2,5g",11g,2g,,"11,00g"
Steamed Chocolate Cheese Cake,1 pack (80 g),250,8g,38g,6g,,"38,00g"
Chocolate Almond,1 porsi (90 ml),150,10g,12g,2g,,"3,0g"
Kitkat Gold,1 porsi (17 g),90,5g,10g,1g,,"8,00g"
Glaze Dark Chocolate,1 serving (20 ml),120,8g,10g,1g,,"1,0g"
Gabin'n Cokelat,1 bungkus (22 g),110,5g,15g,1g,,"6,00g"
Bolu Kukus,50 g,220,12g,25g,3g,,"25,00g"
Aice Chocolate,1 porsi (50 g),45,2g,7g,1g,,"1,00g"
Nabati Bites Richoco,"1 takaran saji (7,5 g)",35,"1,5g",5g,0g,,"3,00g"
Kitkat Bites,1 bungkus (20 g),100,6g,11g,2g,,"11,00g"
Dark Chocolate 74%,1 porsi (25 g),160,12g,10g,2g,,"6,00g"
Nabati Chocolate Cream Wafer,2 buah wafer (10 g),50,2g,7g,1g,,"1,00g"
Lu Ve Choco Almond Milk,1 porsi (90 ml),120,5g,18g,1g,,"9,0g"
Milk,1 sendok makan (30 g),150,6g,21g,2g,,"19,00g"
Mochachoco Cashew,1 bar (30 g),160,11g,10g,6g,30mg,10mg
Choco Strawberry,1 porsi (4 g),20,1g,3g,0g,,
Whey Protein Isolate Choco Malt,1 scoop (30 g),120,0g,3g,25g,,55mg
Happy Hippo,"1 sachet (20,7 g)",123,8g,"11,1g","1,4g",,22mg
Fruit & Nut,1 porsi (40 g),220,15g,19g,3g,,"3,00g"
Almond Milk Chocolate (20g),1 porsi (20 g),110,7g,9g,3g,,"8,00g"
Chocolate H1gh,1 porsi (250 ml),330,12g,36g,22g,,"22,00g"
Frost Bite Choco Lava Mochi,1 kemasan (46 ml),120,1g,27g,1g,,"10,00g"
Es Krim Cappuccino,100 g,120,6g,14g,2g,,40mg
Mocha Latte,1 porsi (250 ml),160,"2,5g",25g,8g,,"8,00g"
Chocolate Hazelnut Spread,1 porsi (15 g),80,6g,7g,2g,,"7,00g"
Belgian Double Chocolate Chip Cookies,1 porsi (45 g),250,15g,25g,4g,,"4,00g"
Roka Peanut Bar,1 serving (18 g),97,"5,2g","10,2g","2,3g",,"10,20g"
Vanchoco,1 potong (95 g),140,9g,12g,2g,,"2,00g"
Wafer Stik Original,1 porsi (18 g),80,2g,14g,1g,,
Roll Cokelat,1 porsi (67 g),220,8g,34g,4g,,"34,00g"
Chunky White Chocolate,2 buah (20 g),120,8g,9g,2g,,"8,00g"
DPRO,1 scop (30 g),120,2g,8g,19g,,"19,00g"
Milk Chocolate,1 porsi (20 g),107,6g,"11,3g",2g,,"11,30g"
Chocomory Pie Chocolate,1 pie (27 g),140,9g,15g,2g,,"2,0g"
Almond & Cashew Chocolate Granola,1/2 cup (40 g),191,8g,27g,4g,,
Cereal,1 sachet  (40 g),170,4g,22g,11g,,"22,00g"
Choco Chips,1 porsi (30 g),160,8g,20g,1g,,"16,00g"
Deka Crepes Chocobanana,1 porsi (30 g),150,6g,21g,2g,,"2,00g"
Choco Chips,1 porsi (15 g),80,"4,5g",9g,1g,,"2,0g"
White Compound Chocolate,1 porsi (25 g),150,10g,14g,1g,,"11,00g"
Vege Biscuit,1 porsi (30 g),150,7g,19g,3g,,"0,00g"
Wonderful Sensation CHOCOLATE,5 sticks (25 g),120,5g,18g,2g,,"0,0g"
Oat Drink Chocolate,100 ml,61,"1,5g",10g,"1,2g",,"10,00g"
Sweet Cereal Chocolate Avocado,1 porsi (25 g),100,"0,6g",20g,3g,0mg,"3,00g"
Fineza Chocolate Button,1 porsi (20 g),120,8g,10g,1g,,"7,00g"
Dark Milk Almonds,1 serving (20 g),114,"7,4g","9,6g","2,3g",,"2,30g"
Dark Compound Chocolate,1 porsi (20 ml),120,8g,10g,1g,,"2,0g"
Kinder Mini,1 serving (6 g),34,"2,1g","3,2g","0,5g",,"3,20g"
Chocolate Syrup,1 porsi (19 g),45,0g,12g,0g,,"0,00g"
Venezia,1 porsi (30 g),140,5g,22g,2g,,"2,00g"
Almond Milk Chocolate,1 bungkus (20 g),110,6g,12g,1g,,"9,00g"
Choco Pie,1 sajian  (30 ml),130,"4,5g",21g,1g,,65mg
Concerto Midi Tiramisu,1 porsi (80 ml),130,6g,17g,3g,,"12,00g"
Choco Chips,3 keping (25 g),119,25g,25g,25g,,"25,00g"
Koko Krunch Double Choco,1 porsi (30 g),110,1g,23g,2g,,"23,00g"
Sweet Kokona Drinking Chocolate,1 bungkus (35 g),35,1g,6g,0g,,5mg
Peanut Butter & Belgian Chocolate,1 porsi (30 g),140,6g,21g,2g,,"21,00g"
Coklat,"5 biskuit (8,4 g)",40,"1,5g",6g,1g,,"2,00g"
Quadratini Chocolate Bite Size Wafer Cookies,8 pieces (29 g),150,8g,18g,2g,,"2,00g"
Dosie Coklat,3 biji (72 g),220,"3,5g",42g,5g,,"2,0g"
Alpine Milk Chocolate,1 serving (25 g),140,8g,14g,2g,,"14,00g"
Susu Bubuk Cokelat,1 gelas (37 g),160,5g,25g,5g,290mg,"5,00g"
Silverqueen Chocolate Cashew,100 ml,110,"4,5g",16g,3g,"10,00g","1,000g"
Timtam Double Coat,"1 biscuit (22,2 g)",117,"6,2g","14,1g",1g,,"0,3g"
Semi-Sweet Chocolate Chips,1 tbsp (15 g),70,4g,10g,1g,,"1,00g"
Mini Bar,1 porsi (6 g),30,"1,5g",4g,0g,,"2,00g"
Chunky,1 bungkus (36 g),192,"10,8g","20,1g",3g,,"20,10g"
O Donuts,1 porsi (8 g),40,2g,5g,0g,,"2,00g"
Bischoc,1 porsi (6 g),30,"1,5g",4g,0g,,"2,00g"
Susu UHT Cashew,1 pak (250 ml),220,7g,32g,6g,,"0,000g"
Sobek Duo Cokelat Sarikaya,1 sajian (54 g),180,5g,30g,4g,,"30,00g"
Sponge Crunch Cheddar Cheese,1 porsi (12 g),70,"4,5g",7g,1g,,"1,00g"
Chocolate Spread,1 porsi (20 g),110,7g,12g,1g,,"10,0g"
Pepero Peanut,1 porsi (36 g),190,10g,20g,5g,,"20,00g"
Kakao Bubuk,4 sdm (30 g),120,3g,16g,7g,"0,00g","0,000g"
Bites Cashews,1 porsi (30 g),170,11g,14g,4g,,"9,00g"
Fresh Milk Salted Caramel,1/2 kotak (125 ml),110,"2,5g",16g,4g,,"4,00g"
Pocky Colourful,1 takaran saji (36 g),180,8g,25g,2g,,30mg
Maltitos,1 takaran saji (30 g),140,5g,22g,2g,,"15,00g"
Choco Chips,1 takaran saji (9 g),45,"2,5g",6g,0g,"4,00g","0,000g"
Milo Nugget,1 porsi (15 g),70,"3,5g",9g,1g,,"7,00g"
Cornflakes,1 porsi (25 g),130,7g,16g,1g,,45mg
Peppermint Dark Chocolate,1 porsi (40 g),230,16g,19g,3g,,"3,00g"
Cokelat Compound,1 batang (7 g),40,2g,4g,0g,,"0,00g"
Mochi Duo Vanilla Chunk,1 porsi (45 g),90,1g,20g,0g,,"9,00g"
Chocolatos Chocolate Milk,1 sajian (150 ml),120,3g,20g,3g,,"20,00g"
Kalbe,100 g,90,"3,5g",15g,2g,,"2,00g"
Alpine Full Milk,1 takaran saji (30 g),160,9g,18g,2g,,"14,00g"
Coklat Dilan,1 porsi (15 g),80,4g,9g,1g,,"1,0g"
Vanilla Chocolate Sundae,1 porsi (50 ml),90,4g,11g,3g,,40mg
Chic Choc Mini,1 porsi (20 g),100,"4,5g",14g,1g,,"9,00g"
Roti Sobek Cokelat Stroberi,2 potong (107 g),340,9g,57g,8g,0mg,"8,00g"
Bisvit Selimut,"1 keping  (9,5 g)",45,2g,7g,1g,0mg,"1,00g"
Unicorn Bitz,1 porsi (20 g),90,"3,5g",14g,1g,,"1,0g"
Susu UHT Choco Malt,1 porsi (250 ml),220,10g,34g,10g,,"10,00g"
Mint Cocoa,1 kemasan (15 g),60,"2,5g",10g,2g,,"6,00g"
Dark Chocolate 70%,1 porsi (25 g),150,11g,12g,2g,,"7,00g"
Roti Manis Kasur Isi Cokelat,1 porsi (90 g),320,10g,51g,8g,,"2,0g"
Chunky Bar,1 potong (20 g),100,6g,11g,2g,,45mg
Fresh Milk Chocolate,1 kotak (200 ml),190,6g,26g,7g,,"7,00g"
Chocolate Truffle,1 porsi (15 g),76,"4,2g","7,5g",0g,,"7,50g"
Get Git Wafer Chocolate,1 takaran saji (18 g),90,"3,5g",13g,1g,,"6,00g"
Roti Stick Choco Chip,1 potong (70 g),300,13g,40g,5g,,"40,00g"
Homemade Granola Van Java (Chocolate Cranberry),1 porsi,240,10g,32g,5g,,
Peppermint,1 porsi (25 g),130,6g,16g,1g,,"8,00g"
Chiki Balls Rasa Cokelat,1 kemasan kecil (10 g),50,"2,5g",7g,1g,,"2,00g"
Tim Tam Classic Chocolate,2 keping (27 g),140,6g,19g,1g,,"19,00g"
Choco-Lah! Pop & Choc,1 saji (30 g),170,"11,5g","12,5g","4,5g",,"4,50g"
Cashew Milk Chocolate,1 porsi (20 g),110,7g,10g,2g,,"7,00g"
Rock'r,1 bungkus (22 g),120,7g,13g,2g,"8,00g","0,000g"
Malkist Kornet,1 porsi (18 g),80,"2,5g",13g,2g,,130mg
Ceres Classic,1 sendok teh (30 g),150,6g,22g,1g,,"20,00g"
Coconut Clusters Chocolate Mix,1 porsi (20 g),122,10g,6g,3g,,"6,00g"
Chocolate Condensed Milk,100 ml,150,6g,23g,2g,,40mg
Trimshake Chocolate,"1 sacet (56,9 g)",210,3g,27g,20g,,"20,00g"
Vegan Salted Caramel,1 serving (20 g),113,"7,1g","10,6g","1,6g",,
Cacao Nibs 70% Dark Chocolate,1 porsi (25 g),159,12g,10g,2g,"5,00g","0,000g"
Warmderland,1 bungkus (45 g),242,15g,23g,3g,,
Cacao 86%,1 bar (5 g),29,"2,3g","1,8g","0,7g",,"1,00g"
Kul Kul Igloo Chocolate,1 porsi (50 g),70,2g,11g,2g,,45mg
Funtime Strawberry,1 porsi (11 g),60,3g,7g,0g,,10mg
"Granobar Chocolate, Almonds, & Cashews",1 porsi (35 g),180,9g,21g,4g,,"21,00g"
Nockers,1 porsi (30 g),150,8g,17g,3g,,"13,00g"
Milk Chocolate Wafer Cream,1 porsi (12 g),63,"3,3g","7,7g","0,7g",,"7,70g"
Susu UHT Full Cream Plain,1 gelas (250 ml),150,8g,12g,8g,130mg,25mg
Dark Chocolate 77%,1 takaran saji (40 g),240,17g,18g,4g,,"9,00g"
Meiseis,1 bungkus (6 g),25,1g,4g,0g,,"3,00g"
Dark Chocolate 81%,1 serving (25 g),160,13g,10g,2g,,"10,00g"
Mini Astor Wafer Rolls,1 porsi (20 g),90,"3,5g",15g,1g,,"9,00g"
Granola Chips Peanut Butter,100 g,271,24g,20g,20g,,"19,0g"
Big Rolls,sajian (10 g),50,2g,7g,0g,,"0,00g"
Superstar Snaps,1 bungkus (28 g),150,8g,17g,2g,"10,00g","0,000g"
Feast Pop,1 sajian (64 ml),180,11g,19g,2g,"14,00g","2,000g"
Choco Puff,3 buah (35 g),200,13g,19g,2g,,"19,00g"
Soyfresh Hershey's Chocolate,1 porsi (236 g),110,4g,13g,5g,,"11,00g"
Milo Granola,1 porsi (45 g),190,6g,28g,6g,,"3,0g"
Granola Rasa Coklat,1 porsi (50 g),240,10g,34g,4g,,"34,00g"
Double Belgian Chocolate with Pistachio Milk,1 botol (180 ml),45,3g,4g,1g,,20mg
Strawberry Choco,1 porsi (65 ml),130,8g,13g,1g,,"6,00g"
Quickstart Chocolate,1 porsi (30 g),130,3g,24g,2g,,
Tiramisu Spread,1 sendok (30 g),180,12g,16g,1g,,"16,00g"
Chocolate Candy,1 porsi (8 g),30,0g,6g,1g,0mg,"1,00g"
Very Berry Yoghurt,1 bar (30 g),160,10g,17g,3g,,"17,00g"
Nuggets,1 porsi (15 g),73,"3,3g",9g,"1,4g",,14mg
Dark Chocolate 85%,1 porsi (20 g),120,10g,7g,2g,,"0,00g"
Dark Cocoa Powder,1 porsi (5 g),20,1g,2g,1g,,240mg
Pillows Isi Coklat,5 buah (20 g),90,"3,5g",14g,1g,,"1,00g"
Walut Choco Banana,1 porsi (18 g),90,4g,12g,1g,,"6,00g"
Chocolate Croissant,1 porsi,93,2g,15g,2g,,"0,0g"
Cloud 9 Chocobiz,1 porsi (20 g),100,"4,5g",14g,1g,,"2,0g"
Chocolate Vanilla Choco Chunk,100 ml,150,8g,17g,2g,,
Good Time Double Choc,3 keping (16 g),80,"3,5g",11g,1g,0mg,"1,00g"
Milk Chocolate Chips,1 porsi (30 g),170,10g,17g,2g,,20mg
Sponge Mochaccino,9 keping (12 g),60,"3,5g",7g,1g,0mg,"1,00g"
Susu Bubuk Cokelat,1 porsi (38 g),180,5g,26g,8g,,"8,00g"
Tiramisu Milk Chocolate,"1 piece (4,5 g)",24,"1,4g","2,6g",0g,,"2,00g"
Bali Extra Dark 80%,1 porsi (40 g),250,20g,15g,3g,,"15,00g"
Roti Stick Choco Chip,2 sticks (70 g),300,13g,40g,5g,"14,00g","0,000g"
Milk Chocolate Compound,1 porsi (20 g),110,7g,11g,1g,,"9,00g"
Gabin Cokelat,4 slice (50 g),230,8g,35g,4g,,"11,00g"
Chocolate Oat M*Lk,1 porsi (200 ml),170,6g,25g,3g,,"25,00g"
Susu UHT Cokelat,1 porsi (200 ml),150,"4,5g",23g,5g,,"19,00g"
Sagu Cokelat,1 bungkus (8 g),39,1g,6g,0g,,"6,00g"
Dark Chocolate 99%,100 g,590,51g,8g,15g,,"20,0g"
Crunchie,1 unit (15 g),70,"2,2g","12,1g",1g,,"10,30g"
Fiberwafer Chocolate,1 bungkus (18 g),90,"4,5g",12g,1g,,"1,00g"
Waffle Choco Hazelnut,1 bungkus (25 g),120,6g,16g,1g,,"1,0g"
Cacao Powder,1 porsi (5 g),20,"0,5g",3g,1g,,"1,00g"
Chokoreto Cookies,1 buah (25 g),130,6g,16g,1g,,"8,00g"
Kisses Cookies N Creme,1 porsi (36 g),190,"10,1g","22,4g","2,1g",,44mg
Dairy Milk Lickables,1 takaran saji. (1 kemasan) (20 g),100,5g,12g,1g,,"12,00g"
Chocolatos Dark,1 sajian (8 g),40,"1,5g",5g,1g,,"1,0g"
Pocket Sandwich Chocolate,1 porsi (50 g),160,6g,22g,4g,,240mg
Chocolate Spread Crunchylicious,1 porsi (10 g),50,"3,5g",6g,0g,,"0,00g"
Choco-Lah! Coco Chips,1 saji (30 g),180,13g,11g,4g,"5,00g","0,000g"
Karamelo,1 porsi (18 g),90,5g,12g,1g,,"7,00g"
Chocolate Spread Crunchylicious,100 g,500,35g,60g,0g,,"0,00g"
Fresh Milk Almond,1 porsi (250 ml),220,"3,5g",16g,3g,,"3,00g"
Fantasy Susu Cokelat,1 porsi (55 ml),60,2g,10g,0g,,10mg
WPRO Chocolate Eclairs,1 porsi (30 g),110,0g,1g,27g,,
Dark Chocolate Chips,1 porsi (30 g),170,10g,18g,2g,,10mg
