nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Stir-Fried Kimchi Ramyun,1 bungkus (114 g),500,18g,74g,9g,,"74,00g"
Mie Kering Gandum,1 serving (136 g),510,2g,105g,16g,,"1,00g"
Korean Cheese Buldak,1 bungkus (86 g),400,16g,54g,8g,,"54,00g"
Mi Goreng Keju Pedas,1 porsi (69 g),330,15g,40g,7g,970mg,"0,000g"
Mie Sedaap Instan Salero Padang,1 porsi (86 g),390,15g,56g,9g,,"56,00g"
Jiwa Pagi Rasa Soto,1 porsi (65 g),240,4g,41g,10g,,"5,0g"
Mie Goreng Korea Konnyaku,1 bungkus (78 g),150,4g,29g,1g,,"29,00g"
Gekikara Ramen Extra Hot Chicken,1 porsi (121 g),550,24g,75g,10g,,"75,00g"
Mi BonCabe,100 g,200,9g,26g,4g,,"2,0g"
Rasa Soto Ayam,1 porsi (77 g),360,16g,45g,8g,,"45,00g"
Bakmi Spesial Gm,100 g,120,5g,13g,5g,,
Indomie Spaghetti,1 porsi (85 g),390,14g,57g,8g,,"4,0g"
UFO Mie Goreng Pedas,1 porsi (92 g),410,17g,55g,8g,,"55,00g"
Mie Goreng Rasa Ayam Panggang Kecap,1 bungkus (90 g),420,18g,57g,8g,,"7,00g"
Ready Meal Spaghetti Chicken Parmigiana,1 porsi (320 g),650,24g,84g,24g,,"7,00g"
Indomie Goreng,1 serving (85 g),380,14g,54g,8g,0mg,"8,00g"
Mi Instan Kuah Rasa Ayam Bawang,1 porsi (20 g),80,1g,14g,2g,,"14,00g"
Volcano Chicken Noodle,1 bungkus (140 g),520,14g,88g,10g,,"3,0g"
Kimchi Ramyun,1 porsi (120 g),520,"18,2g","77,7g","10,5g",,"5,4g"
Veggie Noodle Red Spinach,1 porsi (75 g),280,"4,5g",53g,6g,,"7,00g"
Gekikara Ramen Hot Carbonara,1 porsi (120 g),540,21g,78g,10g,,"5,0g"
Spicy Salted Egg Fried Noodle,1 bungkus (125 g),550,19g,83g,13g,,1410mg
Mie Goreng Selera Pedas Spicy Mayo Cheese,1 bungkus (85 g),370,13g,55g,8g,100mg,"8,00g"
Mi Instan Konjak,1 bungkus (78 g),130,"3,5g",23g,0g,,"5,0g"
Beef Seaweed Soup Ramen,1 porsi (115 g),445,15g,65g,12g,,"12,00g"
Japchae Original,1 porsi (111 g),400,"3,5g",89g,2g,,"89,00g"
Mie Goreng Original,1 bungkus (85 g),420,20g,52g,7g,,"7,00g"
Brondong Ketan,100 g,380,"1,5g",86g,6g,,"49,00g"
Mie Gelas Rasa Sop Buntut,1 bungkus (28 g),120,"4,5g",17g,3g,,940mg
Ghost Pepper Spicy Chicken Dry Black Noodle,1 serving (80 g),360,13g,53g,8g,,"8,00g"
Nutrimi Rasa Steak Ayam,1 bungkus (80 g),380,15g,54g,7g,,"7,00g"
Fitmee Rasa Soto,1 porsi (92 g),60,2g,10g,0g,,"10,00g"
Mi Instan Konnyaku Kuah Rasa Ayam Bawang,1 porsi (71 g),30,0g,7g,0g,,"7,00g"
Rice Noodles,1/8 pack (50 g),170,0g,40g,3g,,"40,00g"
Mi Boyki,1 bungkus (9 g),45,2g,6g,1g,"0,00g","0,000g"
Mie Kuah Rasa Ayam Cabe,1 porsi (80 g),370,16g,49g,7g,,"4,00g"
Spicy Chicken Fried Noodle,1 porsi (126 g),560,20g,82g,13g,,1750mg
Rasa Ayam,1 bungkus (75 g),350,16g,46g,7g,,"46,00g"
Bibim Men,1 porsi (65 g),270,11g,39g,5g,,"5,00g"
Bulgogi Rice Vermicelli,1 porsi (70 g),270,5g,55g,1g,,"2,00g"
Sarimi Isi 2 Ayam Bawang,1 bungkus (115 g),510,20g,70g,13g,,"70,00g"
Kimchi Ramen,1 serving (80 g),360,13g,53g,7g,161mg,"7,00g"
Korean Vermicelli,1 porsi (25 g),90,0g,22g,0g,,0mg
Mie Goreng Pedas Korea,1 bungkus (85 g),300,"4,5g",57g,9g,"4,00g","0,000g"
Soto Padang,1 bungkus (75 g),330,14g,44g,8g,,"44,00g"
Bakmi Mewah Goreng Rasa Bulgogi,1 takaran saji (50 g),200,9g,24g,6g,,"24,00g"
Bibimyeon,1 porsi (130 g),530,19g,80g,9g,,"80,00g"
Mie Goreng,1 bungkus (80 g),320,7g,58g,7g,,"58,00g"
Green Barley Noodle Vegetable SOUP,1 bungkus (75 g),270,2g,49g,14g,271mg,"14,00g"
Original Veggie,1 porsi (67 g),80,0g,18g,0g,,"18,00g"
Kwetiau Siram Seafood,1 porsi,369,"6,6g",54g,"23,2g",,
Fettucine Konnyaku,100 g,35,"0,5g",7g,1g,,5mg
Beef Cup Noodle,1 porsi (64 g),300,13g,38g,7g,,"20,0g"
Extra Pedas Goreng Jalapeno,1 bungkus (85 g),380,14g,54g,8g,,"7,00g"
Indomie Rasa Kari Ayam,1 bungkus (72 g),320,12g,46g,7g,,"46,00g"
Selection,1 porsi (81 g),400,19g,50g,7g,,"50,00g"
Mi Telur Cap 3 Ayam,1 porsi (67 g),240,0g,51g,7g,,"51,00g"
Jin Ramen,1 porsi (120 g),500,15g,"79,9g","10,8g",,"10,80g"
Jajangmyeon,1 porsi (50 g),90,"3,5g",11g,4g,,"11,00g"
Buldak Cheese,1 bungkus (140 g),550,18g,84g,13g,0mg,"13,00g"
Hot Chicken Ala Jepang,1 porsi (90 g),390,15g,55g,8g,,"55,00g"
Mi Instan Hot Chicken Ala Jepang,1 porsi (90 g),390,15g,55g,8g,,"55,00g"
Indomie Rasa Kari Ayam,1 porsi (72 g),320,12g,46g,7g,,"46,00g"
Rasa Soto Padang,1 bungkus (75 g),330,14g,44g,8g,,"44,00g"
Japchae,1 porsi (73 g),225,5g,43g,2g,,"8,00g"
Yum Yum Mi Goreng Rasa Ayam Panggang Pedas Thailand,1 bungkus (70 g),330,14g,45g,5g,,"4,0g"
Bihun Goreng Ayam,1 porsi (150 g),455,"17,04g","54,79g","17,73g",,322mg
Mie Oven Rasa Mie Goreng Bawang,1 porsi  (71 g),280,7g,46g,8g,,"4,00g"
Ayam Krispi,1 porsi (88 g),400,15g,59g,8g,,"5,0g"
Selera Pedas Mie Instan Goreng Pedas Nampol Rasa Sapi Pedas,1 bungkus (80 g),400,21g,45g,8g,,"45,00g"
Mie Oven Mie Kuah Rasa Iga Sapi,1 bungkus  (50 g),200,7g,29g,6g,,"1,00g"
Beef Bulgogi,"1/2 porsi (52,5 g)",230,8g,36g,4g,,"36,00g"
Makaroni atau Mie dengan Keju (Campuran Kering),1 mangkok,418,"19,21g","49,16g","11,94g",697mg,8mg
Kwetiau Siram Sapi,1 porsi (191 g),409,"10,2g","52,6g","26,2g",,
Mie Instan Rasa Rendang,1 porsi (77 g),290,5g,54g,8g,,"8,00g"
Spicy Kimchi Noodle Soup,1 bungkus (120 g),500,16g,74g,16g,,2060mg
Mi Goreng,1 bungkus (80 g),320,7g,58g,7g,,"7,00g"
Pororo Jjajang,1 kemasan (65 g),280,9g,45g,5g,,"1,00g"
Mie Kuah Jalapeno,1 porsi (75 g),330,13g,43g,9g,,1320mg
Kaldu Ayam,1 bungkus (70 g),320,12g,45g,7g,,"45,00g"
Bakmi Sambal Matah,1 bungkus (139 g),560,28g,61g,17g,,"4,00g"
Rasa Kaldu Ayam,1 porsi (70 g),300,10g,46g,6g,,"6,00g"
Kari Ayam,1 bungkus (70 g),300,5g,54g,8g,,"54,00g"
Mie Iblis,1 porsi,661,"30,9g",79g,"16,7g",,
Ayam Bawang,1 porsi (71 g),30,0g,7g,0g,"1,00g","0,000g"
Mie Goreng Extra Pedas Lada Hitam,1 porsi (85 g),390,16g,53g,9g,,1150mg
Ramen Keju Pedas,1 porsi (60 g),270,11g,36g,6g,,"2,00g"
Rasa Ayam,1 cangkir (75 g),320,11g,46g,9g,0mg,"9,00g"
Mie Sukses Isi 2 Rasa Ayam Kremes,1 bungkus (133 g),600,22g,88g,14g,,"14,00g"
Udon,100 gram (g),361,"1,42g","73,62g","11,82g","0,32g","0,288g"
Selera Pedas Rasa Ayam Pedas Limau,1 bungkus (85 g),390,14g,58g,8g,,"6,0g"
Isi 2 Rasa Tongseng Ayam,1 bungkus (120 g),560,23g,76g,11g,,"6,0g"
Mie Sedaap Cup Soto,1 bungkus (81 g),370,18g,45g,8g,,"45,00g"
Niku Udon,1 bowl (460 g),480,17g,72g,34g,0mg,"34,00g"
Mie Goreng,1 porsi (60 g),290,13g,37g,6g,,"37,00g"
Mi Goreng Salted Egg,100 g,480,25g,53g,11g,,"53,00g"
Real Meat,100 g,480,24g,55g,12g,,"55,00g"
Mie Goreng,2 sendok (50 g),200,9g,26g,4g,,"4,00g"
Mi Kocok Bandung,1 bungkus (75 g),350,16g,44g,8g,,"8,00g"
Mi Goreng Rasa Rendang,1 bungkus (91 g),420,16g,59g,9g,,"59,00g"
Mi Goreng Jadul,1 bungkus (80 g),390,18g,49g,8g,,"8,00g"
Udon (Dimasak),100 gram (g),131,"0,35g","27,18g","4,02g","0,04g","0,071g"
Mie Goreng,1 bungkus (78 g),370,16g,49g,7g,,"49,00g"
Soto Spesial,1 bungkus (75 g),330,14g,44g,7g,,"44,00g"
Mie Instan,100 g,340,15g,46g,7g,,"46,00g"
Less Fat Noodles,1 porsi (64 g),240,5g,45g,5g,,"5,00g"
Shin Cup,1 porsi (72 g),320,14g,42g,6g,,"42,00g"
Mie Instan Alami Rasa Mie Goreng,5 sendok (80 g),320,7g,58g,7g,,"4,0g"
Korean Clay Pot Ramyun,1 porsi (120 g),522,18g,78g,12g,,"78,00g"
Misoa,100 gram (g),334,"0,91g","70,43g","9,07g",123mg,0mg
Bakmi,1 porsi (67 g),240,0g,50g,9g,,630mg
