nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Minuman Energi,1 gelas (240 ml),108,"0,19g","26,26g","0,6g",202mg,0mg
Minuman Rasa Limun dengan Gula (Dibuat dengan Bubuk Campuran),1 gelas(240 ml),92,0g,"22,52g",0g,10mg,0mg
Teh Manis,1 gelas,55,0g,"14,36g",0g,5mg,0mg
Milk Shake,1 milkshake (300 ml),382,"13,84g","56,91g","9,03g",192mg,45mg
Ultra Mimi Full Cream,1 kotak (125 ml),80,4g,6g,4g,,"6,00g"
WRP Active Coco Splash,1 botol (330 ml),70,0g,17g,1g,320mg,"1,00g"
Cappuccino,1 cangkir kopi (180 ml),56,"2,99g","4,36g","3,06g",38mg,9mg
Liang Cha,1 botol (350 ml),70,0g,17g,0g,15mg,"0,00g"
Cool Coconut,1 serving (200 ml),100,"2,5g",19g,1g,,"14,00g"
2% Lemak Susu,1 gelas,122,"4,81g","11,42g","8,05g",100mg,20mg
Isoplus,1 botol (350 ml),100,0g,24g,0g,150mg,"0,00g"
Goodmood Jeruk,1/2 botol (225 ml),45,0g,12g,0g,,45mg
Jeruk Madu,1 kotak (200 ml),70,0g,17g,0g,,"14,00g"
Diet Soda,1 kaleng (350 ml),4,"0,07g","0,84g","0,39g",28mg,0mg
Milku,1 botol (200 ml),160,"4,5g",22g,6g,,"22,00g"
Acticor,1 botol (85 ml),60,1g,11g,2g,,"2,00g"
Tummy Yogurt Passion Fruit,1 sajian (125 ml),80,2g,14g,2g,150mg,"2,00g"
Collagen,1 porsi (150 g),40,0g,9g,0g,0mg,"0,00g"
Golda Coffee Dolce Latte,1 botol (200 ml),120,"2,5g",22g,2g,,"15,00g"
Nutrive Benecol Lychee,100 ml,60,2g,8g,1g,,"4,00g"
Tropic Golden,250 ml,100,0g,22g,3g,,"3,00g"
Choco Banana Latte,1 botol (220 ml),130,"3,5g",20g,4g,,"17,00g"
Susu Tango Italian Chocolate,1 porsi (200 ml),140,5g,21g,3g,,"21,00g"
Eclair Latte,1 botol (220 ml),130,"3,5g",20g,4g,,"17,00g"
Botanical Drink,1 botol (330 ml),120,0g,30g,1g,,
Malt with Cereal Banana,1 porsi (200 ml),200,3g,41g,4g,280mg,"4,00g"
Sarsaparila,1 kaleng (330 ml),60,0g,16g,0g,,15mg
Grass Jelly Drink with Honey,1 kaleng (300 ml),110,0g,28g,0g,,"0,00g"
Susu Steril Honey,1 kaleng (189 ml),140,6g,18g,5g,"19,00g","2,500g"
Fresh Milk Full Cream,1 porsi (200 g),130,7g,10g,6g,,"10,00g"
Minuman Sari Buah Apel,1 gelas  (250 ml),50,0g,13g,0g,,"0,0g"
Coffee Freeze Mocafrio,1 porsi (30 g),130,"3,5g",25g,1g,,"1,0g"
Madu Lemon,2 sendok (14 g),50,0g,14g,0g,,20mg
Yogurt Drink Blueberry,1 botol (70 ml),50,"0,5g",10g,2g,60mg,"2,00g"
Minuman Kedelai,1 takaran saji (310 ml),90,"1,5g",14g,5g,0mg,"5,00g"
Yoghurt Smoothie Bowl,1 sachet (30 g),120,"0,5g",25g,3g,,"25,00g"
Smoovlatte,1 botol (190 ml),90,"2,5g",15g,3g,,"13,00g"
Champion,1 bungkus (35 g),150,4g,28g,2g,,"28,00g"
Forever Young,1 kemasan (70 ml),25,0g,4g,2g,,10mg
Mountea,1 gelas (180 ml),40,0g,10g,0g,,"0,00g"
Lemon Black Tea,1 porsi,5,0g,1g,0g,,
Squeezed Orange Less Sugar,1 kotak (200 ml),60,0g,15g,0g,,"12,00g"
Nata De Coco Rasa Leci,1 porsi (180 g),90,0g,23g,0g,,"0,00g"
Chilsung Cider,1 porsi (250 g),110,0g,28g,0g,,"28,00g"
Greek Yogurt,1 porsi (50 g),80,6g,3g,3g,"1,00g","0,000g"
S-Tee,1 botol (350 ml),70,0g,19g,0g,0mg,"0,00g"
Good To Go Cereal Milk Banana,1 sajian (250 ml),170,"3,5g",29g,6g,120mg,15mg
Minuman Cincau,1 kaleng (310 ml),100,0g,25g,0g,0mg,"0,00g"
Chocolate Taro,1 sachet (14 g),60,"1,5g",11g,1g,,"9,00g"
Krushers,1 porsi (150 ml),375,14g,54g,6g,,"42,00g"
Adem Sari Sparkling,1 gelas  (320 ml),140,0g,35g,0g,,"35,00g"
Melon Move,1 pak (190 ml),130,4g,18g,4g,85mg,10mg
Fanta Orange,1 botol (250 ml),50,0g,11g,0g,,"11,00g"
Thai Tea,100 ml,70,2g,12g,0g,,"0,00g"
Aquarius,1 botol (500 ml),100,0g,26g,0g,,40mg
Cocobit,1 porsi (350 ml),170,0g,43g,0g,25mg,"0,000g"
Kurma Latte,1 botol (220 ml),130,"4,5g",22g,2g,,"14,00g"
Yogurt Drink Strawberry,1 botol (150 ml),100,"1,5g",19g,2g,,"19,00g"
Cincau Grass Jelly,1 botol (280 ml),110,0g,29g,0g,,"0,000g"
Flimty Blackcurrant,1 sachet (15 g),60,0g,14g,0g,"2,00g","0,000g"
Honey Lemon Juice,1 cup (500 ml),147,0g,0g,0g,,
Yo! Junior Yogurt,1 pak (200 ml),160,"3,5g",28g,3g,140mg,"3,00g"
Slimfit,1 glass (200 ml),200,3g,29g,15g,520mg,"15,00g"
Boba Milktea Taro,1 kaleng (240 ml),180,"3,5g",36g,1g,,"1,00g"
Low Fat Milk Vanilla,1 gelas (45 g),170,"0,5g",34g,6g,340mg,"6,00g"
Coklat Pisang,1 potong (125 ml),90,2g,16g,2g,,"16,00g"
Grass Jelly Drinks,1 can (310 ml),100,0g,25g,0g,,"0,00g"
Es Teler,1 gelas (15 g),70,2g,12g,0g,,"11,00g"
Mangga Gandaria,1 bungkus (14 g),50,0g,14g,0g,,"0,000g"
Golda Coffee,1 botol (200 ml),180,5g,31g,2g,"19,00g","0,000g"
WRP Everyday 200,1 gelas (50 g),200,3g,32g,11g,,"11,00g"
Mangga,1 porsi (7 g),45,0g,7g,5g,,75mg
Teh Tarik,1 botol (200 ml),120,3g,23g,1g,,"17,00g"
Floridina,1 porsi (350 ml),80,0g,21g,0g,,25mg
Matcha Latte (Botol),1 botol (330 ml),140,"1,5g",27g,5g,,"25,00g"
Frestea Lychee,1 botol (250 g),80,0g,20g,0g,,"0,00g"
Minuman Rasa Sarang Burung,100 ml,140,0g,36g,0g,,0mg
Sprite (250ml),1/2 cangkir (250 ml),45,0g,12g,0g,,"0,00g"
Power F,1 gelas (190 ml),60,0g,16g,0g,,
Orange Juice,100 ml,120,0g,31g,0g,,"0,00g"
Soy Rich,1 botol (250 ml),140,"2,5g",23g,5g,,15mg
Milk Tea,1 porsi (500 ml),302,13g,"44,5g","1,5g",,
Susu Coklat (Lemak telah Dikurangi),1 gelas,190,"4,75g","30,32g","7,48g",165mg,20mg
Jasmine Tea Original,100 ml,60,0g,15g,0g,,"0,00g"
Markisa,1 porsi (14 g),50,0g,14g,0g,,"0,000g"
Milo Original,1 kaleng (240 ml),170,6g,25g,5g,,"25,00g"
Pulpy Aloe Vera White Grape,1 botol (300 ml),110,0g,28g,0g,,15mg
White Coffee,1 kotak (200 ml),90,"2,5g",18g,1g,,"12,00g"
Tebs,1 botol (500 ml),240,0g,60g,0g,0mg,"0,00g"
Nutriboost,1 botol (300 ml),100,1g,22g,1g,,"22,00g"
Susu (tanpa Lemak),1 gelas,86,"0,44g","11,88g","8,35g",127mg,5mg
Minum Smoothie Buah,1 gelas,162,"1,76g","36,68g","2,14g",28mg,4mg
Susu Jahe,1 sachet (40 g),130,4g,23g,1g,,"23,00g"
Jeruk Nipis,1 sachet (11 g),40,0g,11g,0g,,"11,00g"
Apple Orchard,2 sendok (15 g),60,0g,15g,0g,,20mg
Lemon Tea,1 bedak wangi (25 g),100,0g,25g,0g,,"25,00g"
Original,1 porsi (200 ml),130,0g,29g,2g,,30mg
Teh Javana,1 botol (350 ml),110,0g,28g,0g,,"28,00g"
Teh Tawar,1 cangkir (240 ml),2,0g,"0,76g","0,02g",7mg,0mg
Low Fat Milk,1 bungkus (225 g),315,8g,35g,25g,,"35,00g"
Meja Anggur Putih,1 porsi 150 ml,122,0g,"3,82g","0,1g",7mg,0mg
Jus Apel,1 gelas,117,"0,27g","28,97g","0,15g",7mg,0mg
Jeruk Peras,1 bungkus (14 g),50,0g,14g,0g,,"0,00g"
Vegeta,"1 sachet (6,3 g)",22,0g,"5,6g",0g,"1,60g","0,000g"
Pelangsing Perut,1 sachet (14 g),40,0g,9g,0g,,"0,00g"
Susu Bubuk Coklat,1 porsi (40 g),180,5g,27g,5g,70mg,6mg
Koktail Jus Cranberry (Botol),1 gelas (240 ml),137,"0,25g","34,21g",0g,5mg,0mg
Mocha Float,1 porsi (370 g),150,3g,30g,2g,,"30,00g"
Kopi,1 cangkir (240 ml),2,"0,05g","0,09g","0,28g",5mg,0mg
Cincau,1 kaleng (300 ml),110,0g,28g,0g,0mg,"0,00g"
Es Kelapa Muda,1 gelas,113,"2,05g","24,27g","0,21g",20mg,0mg
Thai Milk Green Tea,1  botol (310 ml),210,6g,25g,4g,,190mg
Minuman Serbuk Kedelai,1 sendok (50 g),220,6g,31g,11g,,"31,00g"
Leci,1 porsi (11 g),45,0g,11g,0g,,15mg
Minuman Cincau,1 kaleng (300 ml),120,0g,29g,0g,0mg,"0,00g"
Susu Rasa Pisang,1 porsi (190 ml),160,5g,24g,6g,100mg,20mg
Yoghurt Drink (Low Fat),1 porsi (250 ml),200,2g,38g,7g,360mg,"7,00g"
Nutrive Benecol Strawberry,100 ml,60,2g,9g,1g,,"9,00g"
Chrysanthemum Drink,1 kotak (300 ml),90,0g,22g,0g,,
W'dank Bandrek,1 porsi (15 g),60,"0,5g",14g,0g,,95mg
Strawberry,1 takaran saji (11 g),45,0g,11g,0g,,"8,00g"
Hot Choco,1 sachet (30 g),130,"3,5g",23g,2g,,50mg
Susu Kedelai,100 ml,54,"1,99g","5,1g","4,64g",57mg,0mg
Teh Tarik,100 ml,50,"1,31g","8,49g","1,19g",21mg,5mg
Radler Lemon,1 porsi (250 ml),90,0g,23g,0g,,"17,00g"
Teh Botol Green Tea,1/2 botol (225 ml),60,0g,16g,0g,,25mg
Caffe Mocha (Tall),1 porsi (354 ml),230,6g,32g,10g,,"32,00g"
Fresh Milk,1 porsi (250 ml),170,9g,11g,11g,"0,00g","0,000g"
Herbal Lemon Ching Ku,1 bottle (175 ml),60,0g,16g,0g,80mg,0mg
Whole Grain Cereal,1 porsi (36 g),147,"2,6g","25,9g","3,9g",,
Green Tea Jasmine,1 kaleng (300 ml),70,0g,17g,0g,,35mg
Hazelnut Milk Tea No Sugar,1 porsi (500 ml),185,11g,"20,5g",1g,,
Teh Botol Kotak,1 kotak (330 ml),60,0g,15g,0g,,
Teh Kotak Rasa Lemon,1 kotak  (200 ml),100,0g,23g,0g,0mg,"0,00g"
Chocolatos Chocolate Drink,1 botol (180 ml),130,2g,25g,2g,,"25,00g"
Vanila Milk Tea,1 cup reguler (500 ml),218,0g,0g,0g,,
Yogurt Drink Mixed Fruit,1 botol (250 g),200,2g,37g,6g,270mg,"6,00g"
Apel Jeruk,1 sachet (11 g),45,0g,11g,0g,,"9,00g"
Rasa Mangga,1 porsi (300 ml),170,"1,5g",37g,2g,0mg,"2,00g"
Light,1 porsi (65 ml),25,0g,6g,1g,,"3,00g"
Sekoteng,1 cangkir (30 g),120,0g,29g,0g,"27,00g","0,000g"
Collagen & Vitamin C Grape Flavour,1 kaleng (250 g),45,0g,10g,1g,25mg,"0,000g"
Yoguruto Strawberry,1 pack (125 ml),70,1g,13g,2g,348mg,"2,00g"
Teh Botol Less Sugar,1 botol (225 ml),45,0g,11g,0g,,45mg
Yogurt Apricot,1 porsi (80 ml),80,"0,5g",14g,4g,170mg,"4,00g"
Sarang Burung,1 kaleng (310 ml),110,0g,27g,0g,,15mg
Ichi Ocha Thai Tea,1 botol (240 ml),180,"4,5g",32g,2g,,150mg
Es Rujak,1 bungkus  (13 g),50,0g,12g,0g,,
Iced Cappuccino,1 botol (180 ml),110,3g,20g,1g,0mg,"1,00g"
Susu Steril Melon,1 porsi (190 g),120,"4,5g",18g,4g,240mg,6mg
Boba Coffee,1 kaleng (240 ml),170,"2,5g",34g,3g,,"34,00g"
Susu UHT Kids Cokelat,1 porsi (115 ml),90,"2,5g",14g,3g,30mg,5mg
Ale-Ale,1 gelas (190 ml),60,0g,15g,0g,,
Jeruk Maroko,1 bungkus (14 g),50,0g,14g,0g,35mg,"0,00g"
Jelly Shake,1 gelas (320 ml),70,0g,17g,0g,,"15,00g"
Minuman Susu Fermentasi Rasa Leci,1 porsi (200 ml),120,0g,28g,2g,"24,00g","0,000g"
Sweet Orange,1 gelas (6 g),25,0g,6g,0g,"0,00g","0,000g"
Apple Tea,1 botol (250 ml),120,0g,30g,0g,,"28,00g"
Yogurt Drink Summer Soursop,1 botol (250 ml),180,5g,29g,5g,,"5,00g"
Kental Manis,1 sachet (37 g),120,"3,5g",21g,1g,"19,00g","1,500g"
Yogurt Blueberry,100 g,110,3g,17g,3g,,"13,00g"
Pumpkin Spice Latte (Tall),1 porsi (325 ml),300,11g,40g,11g,,
Americano Ice Black,"1 bungkus (13,5 g)",60,0g,14g,0g,"12,00g","0,000g"
Minuman Soya,1 botol (320 ml),170,3g,28g,7g,,65mg
W'dank Empon Empon,1 porsi (12 g),45,0g,12g,0g,"10,00g","0,000g"
Cincau Hitam,100 g,122,1g,26g,6g,,3mg
Susu Steril,1 kaleng (140 ml),130,5g,17g,5g,,"17,00g"
Semangka,1 porsi (13 g),50,0g,13g,0g,,"11,00g"
Fresh Milk Matcha,1 kotak (200 ml),160,5g,22g,5g,,"5,00g"
Tummy Yogurt Guanabana,1 botol (125 ml),80,2g,14g,2g,,"2,00g"
Milky Cokelat,1 kotak (180 g),120,"4,5g",15g,4g,,"15,00g"
Pink Lava,1 cangkir (330 ml),210,0g,53g,0g,,80mg
French Butter Souffle Coffee,1 porsi (15 g),70,"2,5g",10g,2g,,"10,00g"
Salted Caramel Cocoa,1 sachet (15 g),60,2g,10g,2g,,"5,00g"
Jahe Jeruk Nipis,1 takaran saji. (1 kemasan) (30 g),120,0g,29g,0g,,"28,00g"
Orange Cocoa,1 sachet (15 g),60,2g,10g,2g,,"4,00g"
Red Rocket,1 serving (250 ml),90,0g,19g,2g,,"2,00g"
Minuman,1 porsi (250 ml),90,0g,22g,0g,,
Healthy Tropical Berry,1 porsi (194 g),120,1g,25g,3g,,
