nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Daging Paha dan Kulit Ayam (Ayam Pedaging),"1 paha, tulang dihilangkan",118,"6,34g",0g,"14,07g",0g,"2,46g"
"Daging dan Kulit Sayap Ayam (Ayam Pedaging, Dipanggang, Dimasak)","1 sayap, tulang dihilangkan",99,"6,62g",0g,"9,13g",0g,"2,598g"
Pizza dengan Daging dan Buah,1 buah (diameter 1/8 30 cm ),248,"8,96g","31,06g","10,74g","4,21g","3,762g"
Quesadilla dengan Daging dan Keju,100 gram (g),324,"19,12g","20,14g","17,25g","1,01g","6,718g"
Quesadilla tanpa Daging dengan Keju,100 gram (g),345,"20,27g","26,2g","14,1g","1,32g","6,758g"
"Iga Sapi (Potongan Kecil, Diiris Hingga 0.3 cm Lemak)",100 gram (g),254,"19,06g",0g,"19,33g",0g,"8,162g"
Lasagna tanpa Daging dengan Sayuran,"1 buah (1/8 18 cm x 30 cm, kira-kira 9 cm x 10 cm)",330,"9,78g","44,03g","17,61g","7,4g","2,568g"
Kentang Merah (Daging dan Kulit),"1 sedang (diameter 5,5 cm - 8 cm)",153,"0,3g","33,87g","4,03g","2,13g","0,006g"
"Daging Ayam (Panggang, Bakar, Dimasak)",100 gram (g),167,"6,63g",0g,"25,01g",75mg,"2,5g"
Daging dan Kulit Ayam (Panggang),100 gram (g),216,"15,85g",0g,"17,14g",0g,"6,64g"
Saus Spageti tanpa Daging,1 mangkok,185,"5,95g","28,18g","4,88g","22,2g","1,908g"
Daging Kambing Goreng,100 gram (g),153,"4,52g",0g,"26,46g",0g,"1,692g"
Daging Domba Panggang,"1 irisan tipis (berdiameter sekitar 7,5 cm x 0,3 cm)",37,"2,54g",0g,"3,35g",0g,"1,055g"
Daging Babi Asap,1 irisan tipis (hasil setelah masak),27,"2,09g","0,07g","1,85g",0g,"0,926g"
Bahu Daging Babi Panggang,"1 irisan tipis (berdiameter sekitar 7,5 cm x 0,3 cm)",41,"2,98g",0g,"3,25g",0g,"1,32g"
Daging Babi Panggang,100 gram (g),247,"14,59g",0g,"26,98g",0g,"6,483g"
Potongan Daging Babi Goreng,100 gram (g),279,"18,5g",0g,"26,41g",0g,"8,003g"
Potongan Daging Babi,"1 kecil atau potongan tipis (85 g, dengan tulang, mentah) (hasil setelah masak, tulang dihilangkan)",118,"6,85g",0g,"13,12g",0g,"2,999g"
"Daging Babi Asap (Diawetkan, Digoreng, Dimasak)","1 iris, dimasak",42,"3,18g","0,12g","3,03g",0g,"0,351g"
"Daging Kelinci Liar (Dimasak, Direbus)","1 buah, dimasak (hasil dari 450 g daging mentah, tanpa tulang)",517,"10,49g",0g,"98,73g",0g,"2,84g"
"Kentang (Daging, dengan Garam, Direbus)",1/2 mangkok,68,"0,08g","15,7g","1,46g","0,68g","0,002g"
Daging dan Kulit Burung Puyuh,1 unit (hasil dari 450 g burung puyuh siap dimasak),778,"48,8g",0g,"79,5g",215mg,"16,929g"
Daging Paha Ayam (Ayam Pedaging),"1 paha, tulang dan kulit dihilangkan (hasil dari 450 g-siap untuk dimasak ayam)",49,"1,6g",0g,"8,06g",0g,"0,398g"
Daging Dada Ayam (Ayam Pedaging),100 gram (g),110,"1,24g",0g,"23,09g",0g,"0,28g"
"Kentang Putih (Daging dan Kulit, Dipanggang)","1 sedang (diameter 5,5 cm - 8 cm)",163,"0,26g","36,47g","3,63g","2,65g","0,003g"
