nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
"Kacang Hitam (Biji Matang, dengan Garam, Dimasak, Direbus)",1 mangkok,227,"0,93g","40,78g","15,24g",408mg,"0,081g"
Kacang Garbanzo,1 mangkok,295,"4,9g","49,17g","15,65g","8,67g","1,101g"
Kacang Hitam,1 mangkok,218,"0,7g","39,74g","14,47g",922mg,"0,06g"
Kacang Campuran,1 mangkok,876,"79,95g","30,64g","23,44g","6,04g","45,416g"
"Nachos dengan Daging Sapi, Kacang-kacangan dan Keju",1 mangkok,363,"21,36g","24,51g","18,88g","0,7g","7,818g"
Teri Kacang Balado,100 gram (g),260,"11,08g","32,08g","10,77g","18,27g","5,084g"
Kacang Hijau Dimasak,"1 mangkok, segar, beku, atau kalengan",167,"4,04g","25,01g","8,55g","9,45g","1,772g"
Kacang Asin Sangrai Kering,100 gram (g),585,"49,66g","21,51g","23,68g","4,18g","24,64g"
Kacang Panggang Boston,1 mangkok,392,"12,8g","55,76g","15,28g","16,19g","5,882g"
Burrito dengan Kacang-Kacangan dan Keju,2 buah,378,"11,7g","54,96g","15,07g",497mg,"2,483g"
"Kacang Merah (tanpa Garam, Dimasak, Direbus)",1 mangkok,225,"0,88g","40,36g","15,35g","0,57g","0,069g"
Kacang Panggang dengan Daging Babi (Kalengan),1 mangkok,268,"3,92g","50,55g","13,13g",1047mg,"1,703g"
Kacang Kemiri Sangrai Kering (dengan Tambahan Garam),100 gram (g),710,"74,27g","13,55g","9,5g","4,06g","43,957g"
Pastry Diisi dengan Kentang dan Kacang (Goreng),1 samosa reguler,308,"17,86g","32,21g","4,67g","1,26g","5,836g"
"Kacang Merah (dengan Garam, Dimasak, Direbus)",1 mangkok,225,"0,88g","40,36g","15,35g",421mg,"0,069g"
Kacang Sangrai Kering (tanpa Garam),1 kacang,6,"0,5g","0,22g","0,24g","0,04g","0,246g"
Kacang Sangrai Kering (dengan Garam),1 kacang,6,"0,5g","0,22g","0,24g","0,04g","0,246g"
Kacang Polong dan Wortel (Beku),1/2 mangkok,37,"0,33g","7,8g","2,38g",55mg,"0,027g"
Kacang Lima,1 mangkok,176,"1,34g","31,47g","10,67g","2,31g","0,078g"
Kacang Kapri,100 gram (g),98,"0,44g","17,59g","6,64g","3,66g","0,036g"
Bumbu Kacang,1 sdm,75,"5,23g","6,15g","2,02g","4,58g","2,691g"
Selai Kacang dan Sandwich Jeli,1 sandwich,327,"14,23g","42,23g","10,32g","12,11g","6,229g"
Cabe dengan Kacang-Kacangan (Kalengan),1 sdm,18,"0,88g","1,91g","0,91g","0,21g","0,373g"
Kacang Mete,100 gram (g),581,"47,77g","30,16g","16,84g","5,01g","25,923g"
Tumis Kacang Panjang dan Tempe,1 porsi (110 g),155,"9,39g","10,62g","9,87g","0,95g","3,929g"
Kacang Sangrai Campuran dengan Kacang Tanah,1 10 porsi kacang pilihan,86,"7,89g",3g,"2,35g","0,59g","4,437g"
"Kacang Campuran Sangrai Kering (dengan Kacang Tanah, dengan Tambahan Garam)",100 gram (g),594,"51,45g","25,35g","17,3g","4,64g","31,395g"
Kacang Tolo,100 gram (g),114,"0,58g","20,67g","7,38g",0g,"0,052g"
Selai Kacang Halus (dengan Garam),2 sdm,188,"16,12g","6,26g","8,03g","2,95g","7,588g"
Kacang Rebus,"1 mangkok, berkulit, hasil dimakan",200,"13,87g","13,39g","8,5g","1,56g","6,88g"
Kacang Pinus Kering,100 gram (g),673,"68,37g","13,08g","13,69g","3,59g","18,764g"
Kacang Hijau (Beku),1/2 mangkok,55,"0,27g","9,87g","3,75g","3,87g","0,024g"
Bubur Kacang Hijau,100 gram (g),108,"3,06g","17,76g","3,54g","8,35g","0,136g"
Kacang Belang (Biji Matang),1 mangkok,670,"2,37g","120,72g","41,34g","4,07g","0,442g"
"Sayuran Campur (Jagung, Kacang Lima, Kacang Polong, Kacang Hijau, Wortel) (tanpa Tambahan Garam, Kaleng)",1 mangkok,67,"0,36g","13,3g","2,55g","4,46g","0,04g"
Sandwich Selai Kacang,1 sandwich,342,"16,89g","37,94g","12,23g","5,45g","7,397g"
Selai Kacang dan Jeli,1 sdm,65,"3,47g","7,72g","1,74g","5,31g","1,632g"
Kacang Panggang Vegetarian,1 mangkok,239,"0,94g","53,7g","12,06g","22,96g","0,211g"
Kacang Hijau Dimasak (Kalengan),1 mangkok,150,"4,31g","21,51g","7,54g","7,09g","1,804g"
Kacang Mete Sangrai Asin,100 gram (g),581,"47,77g","30,16g","16,84g","5,01g","25,923g"
Kacang Macadamia Sangrai Kering (dengan Tambahan Garam),100 gram (g),716,"76,08g","12,83g","7,79g","4,14g","59,275g"
Kacang Kemiri Kering Sangrai (tanpa Tambahan Gula),100 gram (g),710,"74,27g","13,55g","9,5g","4,06g","43,957g"
Kacang Merah (Kalengan),1 mangkok,218,"0,87g","39,91g","13,44g","0,56g","0,069g"
Kacang Arab,100 gram (g),364,"6,04g","60,65g","19,3g","10,7g","1,358g"
Kacang Kemiri,100 gram (g),691,"71,97g","13,86g","9,17g","3,97g","40,801g"
Kacang Panggang,100 gram (g),151,"5,15g","21,39g","5,54g",422mg,"2,133g"
Kacang Macadamia,100 gram (g),718,"75,77g","13,82g","7,91g","4,57g","58,877g"
"Kacang Putih (Biji Matang, Kalengan)",1 mangkok,307,"0,76g","57,48g","19,02g",13mg,"0,066g"
"Kacang Belang (Biji Matang, Kalengan)",1 mangkok,206,"1,94g","36,6g","11,66g","0,53g","0,389g"
"Kacang Hijau (Kering Padat, Kaleng)",1 mangkok,117,"0,6g","21,39g","7,51g","7,07g","0,053g"
Selai Kacang,1 sdm,94,"8,06g","3,13g","4,01g","1,48g","3,794g"
Kacang Brazil,"1 mangkok, dikupas (32 biji)",918,93g,"17,18g","20,05g","3,26g","34,367g"
Sup Kacang,1 mangkok,137,4g,"19,23g","6,58g","1,77g","1,531g"
Kacang Kedelai,100 gram (g),471,"25,4g","33,55g","35,22g","4,2g","5,61g"
Kacang Hijau,1 mangkok,117,"0,58g","20,97g","7,86g","8,22g","0,051g"
Kacang Polong,100 gram (g),42,"0,2g","7,55g","2,8g",4g,"0,021g"
Almond Sangrai Kering (dengan Tambahan Garam),1 ons (22 biji utuh),169,"14,98g","5,47g","6,26g","1,39g","9,542g"
Muesli (Kering Buah-Buahan dan Kacang-Kacangan),1 mangkok,289,"4,16g","66,13g","8,24g","26,35g","2,023g"
Susu Almond,1 gelas,40,"3,58g","1,4g","1,51g","0,34g","2,279g"
Kacang Merah,1 sdm,41,"0,13g","7,48g","2,75g","0,27g","0,01g"
Kacang Pistachio,100 gram (g),557,"44,44g","27,97g","20,61g","7,64g","23,319g"
Susu Almond Manis,1 gelas,59,"3,51g","6,33g","1,48g","5,3g","2,233g"
Biskuit (dengan Isi Selai Kacang),"1 kerupuk, sandwich",35,"1,72g","4,09g","0,8g","0,74g","0,964g"
Mentega Almond,100 gram (g),633,"59,1g","21,22g","15,08g","4,9g","38,374g"
Burrito dengan Kacang,2 buah,447,"13,5g","71,44g","14,06g",653mg,"4,739g"
Kacang Tanah,100 gram (g),567,"49,24g","16,13g","25,8g","3,97g","24,429g"
Almond Pucat,"1 mangkok, seluruh inti",842,"73,4g","28,91g","31,81g","7,19g","46,816g"
Biskuit Rasa Kacang Almond,13 keping (30 g),150,6g,21g,2g,,"2,00g"
Kacang Almond Panggang Kering (tanpa Tambahan Garam),1 ons (22 biji utuh),169,"14,98g","5,47g","6,26g","1,39g","9,542g"
Pasta Kacang Almond,100 gram (g),458,"27,74g","47,81g",9g,"36,25g","18,012g"
Kacang Almond Sangrai Madu,100 gram (g),571,"48,61g","25,38g","18,74g","13,77g","30,656g"
Kacang Almond,100 gram (g),578,"50,64g","19,74g","21,26g","4,8g","32,155g"
Kacang Almond,1 sajian (27 g),180,15g,3g,8g,0mg,0mg
Kacang Panjang Hijau Dimasak dengan Saus Jamur,1 mangkok,125,"6,45g","14,55g","3,94g","3,97g","1,227g"
Selai Kacang dengan Lemak yang telah Dikurangi,1 sdm,94,"6,12g","6,42g","4,66g","1,41g","2,908g"
Kue Selai Kacang,1 sedang,76,"3,78g","9,42g","1,54g","5,09g","1,979g"
Selai Kacang Halus (Lemak yang telah Dikurangi),100 gram (g),520,34g,"35,65g","25,9g","7,81g","16,156g"
Kacang Polong (Polong),"1 mangkok, utuh",26,"0,13g","4,76g","1,76g","2,52g","0,013g"
Kacang Sangrai Madu,100 gram (g),561,"45,77g","23,87g","24,47g","14,18g","22,609g"
Kacang Mete Sangrai Madu,1 10 porsi kacang utuh,87,"6,57g",6g,"2,32g","2,53g","3,566g"
Kacang Mete Sangrai Kering,100 gram (g),574,"46,35g","32,69g","15,31g","5,01g","27,317g"
Kacang Mete Sangrai Tawar,100 gram (g),580,"47,77g","29,87g","16,84g","5,01g","25,923g"
Kacang Panjang Hijau Dimasak (dari Segar),"1 mangkok, segar",77,"4,03g","9,89g","2,37g","1,92g","1,754g"
Sari Kacang Hijau,1 bungkus (200 ml),80,0g,19g,2g,35mg,0mg
Selai Coklat Kacang,1 sendok makan (14 g),90,7g,6g,1g,,"1,00g"
Kacang Kedelai Bubuk,1 porsi (20 g),90,"4,5g",6g,8g,,"1,00g"
Jus Kacang Ijo,1 botol (350 ml),240,3g,48g,4g,,"8,0g"
Susu Kacang Soya,1 serving (250 ml),115,"3,8g","14,8g","5,8g",,"1,000g"
Bubur Aneka Kacang,100 g,120,"2,25g","21,5g","3,5g",,"10,00g"
Sandwich Krim Kacang,3 sandwich (27 g),140,7g,18g,2g,,"18,00g"
Mochi Kacang Merah,1 serving (45 ml),60,"0,5g",13g,0g,10mg,0mg
Hazelnut Almond Drink,1 porsi (250 ml),180,12g,12g,6g,,"12,00g"
Pepero Snowy Almond,1 porsi (32 g),170,9g,18g,4g,85mg,5mg
Chunky Bar Almond,1 potong (30 g),170,"11,2g","12,7g","3,8g",23mg,"1,200g"
Almond Breeze Chocolate,1 porsi (180 ml),70,2g,12g,1g,110mg,0mg
Chocolate High Almond,100 ml,117,4g,11g,6g,,"6,00g"
Almond Milk Chocolate,1 porsi (180 ml),70,2g,12g,1g,,0mg
Almond Dark Chocolate,1 serving (35 g),200,"12,7g","17,7g","3,5g","13,80g","0,900g"
Magnum White Almond,1 porsi (80 ml),210,14g,19g,3g,"16,00g","2,500g"
Almond Milk (Unsweetened),100 ml,16,"1,4g","0,3g","0,6g","0,3g","0,400g"
Golden Almond Milk,1 porsi (250 ml),230,12g,26g,6g,,"6,00g"
Chocolate Almond Butter,1 tbsp,100,9g,3g,2g,,0mg
Almond Breeze Latte,1 porsi (180 ml),60,2g,8g,2g,"0,0g","0,000g"
Sweet Almond Pretzel,2 biji (131 g),390,6g,74g,8g,,
Green Almond Milk,100 ml,74,"4,4g",6g,2g,,"2,00g"
Natural Roasted Almond,1 porsi (28 g),160,14g,6g,6g,,"6,00g"
Almond Breeze Vanilla,1 porsi (180 ml),60,"1,5g",10g,1g,,"8,00g"
Almond Milk Unsweetened,1 porsi (250 ml),41,"3,5g","0,8g","1,4g","0,8g","1,000g"
Bakpia Kacang Hijau,1 buah (60 g),210,9g,27g,5g,,"27,00g"
Mooncake Kacang Pandan,1 bungkus (60 g),230,7g,39g,3g,,"39,00g"
Sari Kacang Hijau,100 ml,40,0g,"9,5g",1g,,"2,5g"
Almond Chili Lime,1 serving (25 g),151,11g,"5,4g",4g,,
Mooncake Kacang Hijau,1 sajian (60 g),240,8g,39g,3g,,"39,00g"
Almond & Walnut Soymilk,1 porsi (190 ml),130,"4,5g",16g,6g,,"16,00g"
Minipao Kacang Hijau,3 biji (61 g),180,"3,5g",34g,4g,,"4,00g"
Sari Kacang Ijo,1 kotak (200 ml),110,0g,26g,2g,"7,0g","0,000g"
Purefarm Kacang Hijau,1 kotak (225 g),140,3g,22g,6g,370mg,5mg
Kacang Koro Kulit,100 g,125,6g,13g,5g,,"5,00g"
Kacang Asin Panggang,1 takar (27 g),170,14g,5g,8g,190mg,"8,00g"
Smooth Kacang Hijau,1 porsi (20 g),80,"1,5g",14g,3g,,0mg
Fresh Milk Almond,1 porsi (250 ml),220,"3,5g",16g,3g,490mg,0mg
Milk Chocolate Almond,1/2 bungkus (30 g),170,10g,15g,4g,,"10,00g"
Kacang Koro Kupas,100 g,435,"14,78g","47,9g","27,61g",,"8,0g"
French Vanilla Almond,100 g,120,"3,5g",19g,7g,,"7,00g"
Granola Vanilla Almond,1 porsi (20 g),74,"2,5g",11g,"1,8g",38mg,"1,80g"
Kukis Almond Oat,10 kukis (20 g),110,6g,11g,2g,,"2,00g"
Susu Almond Mix Fiber,1 sdm (10 g),45,2g,6g,1g,"0,0g","0,000g"
Almond Milk Chocolate,1 bungkus (20 g),110,6g,12g,1g,,"12,00g"
Almond Milk (Original),100 ml,29,"1,4g","3,6g","0,6g",,
Unsweetened Almond Milk,1 porsi (180 ml),25,2g,1g,1g,,"1,00g"
Magnum Mini Almond,1 serving (36 g),130,8g,12g,2g,"8,00g","0,000g"
Kacang Atom,1 sajian (25 g),120,7g,14g,3g,,"14,00g"
Kacang/Nut,1 porsi (25 g),100,1g,17g,4g,,"17,00g"
Granola Honey Almond,1 porsi (30 g),145,6g,18g,3g,,"6,00g"
Almond Milk Powder,1 sendok teh (10 g),35,"0,5g",6g,2g,,"6,00g"
Peanut Almond Butter,1 sdm (10 g),60,"3,5g",4g,2g,10mg,0mg
Almond Milk Chocolate,1 keping (30 g),170,11g,14g,4g,,"11,00g"
Almond Breeze Original,1 porsi (180 ml),45,2g,6g,1g,110mg,0mg
Almond Barley Soya,1 kotak (200 ml),120,"1,5g",12g,4g,45mg,0mg
Selai Kacang,1 serving (10 g),60,"3,5g",4g,2g,,0mg
Kacang Atom,1 porsi (18 g),100,6g,9g,2g,,"9,00g"
Kacang Garing,10 biji (25 g),150,12g,4g,8g,135mg,0mg
Kacang Kriuk,100 g,615,30g,433g,14g,0mg,6000mg
Sandwich Kacang,1 bungkus (49 g),170,7g,20g,6g,,"20,00g"
Sandwich Kacang,1 bungkus (42 g),130,5g,17g,5g,240mg,0mg
Kacang Emas,100 g,491,"24,6g","60,26g","7,15g",,"3,6g"
Kacang Polong,100 g,90,1g,12g,7g,65mg,0mg
Kacang Shanghai,1 porsi (25 g),130,8g,13g,3g,135mg,0mg
Selai Kacang,2 tbsp (32 g),204,16g,6g,8g,,"6,00g"
Kacang Kulit,100 g,615,46g,19g,28g,,"19,00g"
Kacang Kulit,1 kemasan (15 biji) (25 g),150,12g,5g,7g,,"5,00g"
Kacang Panggang,100 g,240,18g,10g,10g,,"3,00g"
Selai Kacang,1 sendok (32 g),210,17g,7g,7g,,"7,00g"
Kacang Sangrai,100 g,640,48g,16g,28g,,"16,00g"
Kacang Sangrai,1 porsi (28 g),170,13g,5g,8g,,"8,00g"
Kacang Garing,1 bungkus  (14 g),90,7g,2g,4g,75mg,0mg
Selai Kacang,1 porsi (30 g),170,13g,7g,7g,,"7,00g"
Selai Kacang,1 saji (30 g),190,15g,6g,8g,,"6,00g"
Kacang Polong,1 porsi (64 g),50,0g,9g,4g,180mg,0mg
Kacang Medan,100 g,560,34g,43g,19g,,"3,00g"
Kacang Hijau,1 porsi (200 ml),70,"1,5g",12g,2g,,0mg
Kacang Polongmas,1 porsi (25 g),120,"4,5g",15g,5g,,"5,00g"
Kacang Merah,100 g,330,1g,58g,23g,,5mg
Kacang Bali,1 porsi (30 g),210,18g,8g,2g,,"8,00g"
Selai Kacang,1 sdm (20 g),120,9g,6g,4g,0mg,0mg
Kacang Kulit,100 g,615,46g,19g,28g,,"28,00g"
Kacang Atom,1 porsi (25 g),130,7g,14g,3g,,"1,0g"
Selai Kacang,1 sdm (30 g),120,13g,11g,5g,,"11,00g"
Almond Butter,1 porsi (40 g),134,"2,73g","18,9g","10,5g",,
Almond Butter,2 sendok makan (32 g),190,17g,7g,7g,,"7,00g"
Almond Cookies,"1 porsi (17,2 g)",90,"4,5g",10g,2g,,"10,00g"
Almond Drink,1 box (190 g),60,3g,5g,4g,,"5,00g"
Raisin Almond,1 bar (30 g),140,7g,15g,5g,220mg,"5,00g"
Almond Croissant,1 piece (99 g),420,22g,45g,10g,,"3,0g"
Oat8 Almond,"1 porsi (28,5 g)",150,7g,17g,3g,75mg,0mg
Almond Cookies,"1 porsi (17,2 g)",90,"4,5g",10g,2g,,"10,00g"
Roasted Almond,5 biji (27 g),180,15g,3g,8g,10mg,0mg
Roasted Almond,1 porsi (28 g),160,14g,6g,6g,,"6,00g"
Almond Breeze Almond Milk Original,1 porsi (180 ml),45,2g,6g,1g,,"4,00g"
Almond Tart,1 porsi (50 g),260,16g,25g,4g,150mg,20mg
Roasted Almond,1 porsi (25 g),150,12g,6g,6g,,"2,00g"
Nuts Almond,1 bungkus (35 g),200,13g,18g,3g,"0,0g","0,000g"
Almond Milk,100 ml,37,"2,5g","2,8g","0,8g",,"2,80g"
Almond Flour,1/4 cup (28 g),170,15g,5g,6g,5mg,"9,000g"
