nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Corn Flakes,3 sendok (30 g),110,0g,25g,2g,"2,00g","0,000g"
Honey Stars Sereal,1 porsi (30 g),110,1g,24g,2g,,"2,0g"
Choco Chips,1 sajian (30 g),130,2g,24g,3g,"10,00g","0,000g"
Koko Krunch (30g),1 bedak wangi (30 g),120,1g,25g,2g,,"25,00g"
Sereal,1 mangkok,124,"1,12g","27,4g","2,39g",223mg,0mg
Strawberry Corn Flakes,1 porsi (30 g),120,0g,28g,1g,"12,00g","0,000g"
Coklat,1 porsi (29 g),130,3g,23g,1g,,"1,0g"
Bubur Sereal Multigrain,1 porsi (32 g),130,1g,27g,3g,,"3,00g"
Go-Fruit Banana,1 bedak wangi (33 g),150,4g,26g,2g,,"26,00g"
Chiareal Banana & Chocolate,1 serving (46 g),198,"6,5g",29g,"5,4g",,
Chocolate Sereal,1 kemasan (30 g),120,2g,25g,2g,5mg,"2,00g"
Cereal Chocolate Milk Drinks,1 botol (200 ml),170,4g,30g,3g,,"19,00g"
Koko Krunch Maxx,1 cangkir (42 g),190,4g,21g,2g,,"2,0g"
Honey Gold Flakes,1 porsi (30 g),110,1g,25g,1g,,"1,00g"
Nutri Grain,1 cup (40 g),148,"0,2g","26,6g","8,5g",,"10,70g"
