nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Lu Ve Litee Green Tea Ice Cream,1 porsi (110 ml),110,2g,23g,1g,"15,00g","0,000g"
Sweet Corn,1 batang (52 g),100,"4,5g",14g,1g,,"1,00g"
Concerto Choco Banana,100 ml,220,10g,28g,3g,,72mg
Tropicana Choco Vanilla,1 es krim (65 ml),170,11g,14g,2g,,"14,00g"
White Coffee,100 ml,130,6g,16g,3g,,35mg
Banana Crispy,1 bungkus (50 g),90,35g,14g,1g,,20mg
Shaky Shake,1 cangkir (150 ml),100,"3,5g",17g,1g,,"17,00g"
Tropicana Krez Krez,1 bungkus (65 ml),160,12g,13g,1g,,"9,00g"
Bingo Cookies Cone,1 porsi (100 ml),210,9g,28g,2g,,"2,00g"
Summer Barz Dragon Berry,1 sajian (55 ml),60,0g,15g,0g,"6,00g","0,000g"
Mini Vanilla Ice Cream Tico With Dark Chocolate,1 porsi (34 g),80,5g,6g,1g,,"1,00g"
Magnum Cookies & Cream,1 kemasan (64 g),230,14g,22g,3g,"18,00g","3,000g"
Cornetto Love Rose Strawberry Cheesecake,1 bungkus (131 ml),210,8g,32g,3g,,"32,00g"
Frost Bite Chocolate Vanilla,1 porsi (90 ml),90,2g,17g,1g,,"13,00g"
Coffee Macchiato,100 g,130,"3,5g",22g,2g,,"2,0g"
Choco Meets Oats,1 bungkus (60 g),230,18g,15g,2g,,"2,00g"
Ha-Ha-Ha,100 g,97,"4,6g","10,7g","6,2g",,
Sandwich Biscuit,1 porsi (90 g),120,3g,21g,2g,,"21,00g"
Boba Milk Tea,1 porsi (48 g),80,3g,13g,1g,,"11,00g"
2 In 1 Avocado Strawberry Sundae,100 ml,100,"3,5g",16g,1g,,"1,0g"
Cornetto Coffee Caramel,1 sajian (80 ml),130,"4,5g",20g,2g,,"20,00g"
Chocolate Almond,1 porsi (90 ml),150,10g,12g,2g,,"3,0g"
Choc Rocks Bar Red Velvet,1 porsi (65 ml),140,9g,14g,2g,,"1,0g"
Jcone Cookies & Cream,1 takaran saji. (80 ml),140,4g,25g,2g,,"14,00g"
Orange Plus,1 porsi,60,0g,15g,0g,,
Crunchy Cookies Cream,1 bungkus (70 ml),190,12g,19g,1g,,"12,00g"
Aice Chocolate,1 porsi (50 g),45,2g,7g,1g,,"1,00g"
Ice Cream Cokelat Chip,100 ml,120,6g,13g,2g,,"9,00g"
Frost Bite Cookies & Cream,1 package (60 ml),140,6g,20g,2g,,"12,00g"
Mix Fruit,1 porsi (35 ml),35,0g,8g,0g,,"0,00g"
Lu Ve Choco Almond Milk,1 porsi (90 ml),120,5g,18g,1g,,"9,0g"
Paddle Pop Milkie,1 bungkus (56 ml),80,3g,12g,1g,,"12,00g"
Strawberry Purete,1 porsi (60 g),200,16g,10g,2g,,"9,00g"
Taiyaki Ice Cream Uji Matcha,1 porsi (78 g),110,3g,20g,2g,,"9,00g"
Frost Bite Choco Lava Mochi,1 kemasan (46 ml),120,1g,27g,1g,,"10,00g"
Miki-Miki Strawberry,1 porsi (35 ml),70,5g,6g,0g,,"5,00g"
Haku Vanilla & Crispy Choco Monaka,100 ml,100,"2,5g",17g,2g,,"10,00g"
Premium Ice Cream Strawberry,100 ml,240,16g,21g,4g,,160mg
Better Than Roses,100 g,79,"1,69g","11,8g","4,8g",,
Concerto Midi Tiramisu,1 porsi (80 ml),130,6g,17g,3g,,"12,00g"
Durian Mochi,1 porsi (45 ml),50,1g,11g,0g,,"0,00g"
Paddle Pop Mochi Strawberry Vanilla,1 porsi (45 ml),90,"1,5g",18g,1g,10mg,"0,000g"
Vanchoco,1 potong (95 g),140,9g,12g,2g,,"2,00g"
Strawberry Cheesecake,100 g,150,7g,18g,3g,,"7,00g"
Blast Choco Cheese,1 buah (70 ml),170,10g,19g,2g,"12,00g","1,500g"
Double Yolks,100 g,90,4g,11g,2g,,"1,0g"
Oreo Cookies & Cream,1 cup (90 ml),110,4g,16g,2g,"10,00g","0,500g"
Dung Dung Kelapa Muda,100 ml,120,"4,5g",20g,1g,,55mg
Jcone Black & Pink,1 bungkus (90 ml),160,7g,23g,2g,,"14,00g"
Sweet Pear,1 porsi (60 g),40,0g,10g,0g,,
Gold Ribbon Cashew Nut,1 porsi (90 ml),290,19g,27g,3g,,"16,00g"
Concerto Midi Strawberry Chunk,1 porsi (80 ml),180,9g,22g,2g,,
Ice Milk Sandwich,1 porsi (35 ml),70,1g,15g,1g,,0mg
Boba Sundae,100 g,140,"3,5g",25g,2g,,
Mint-Choco Breeze,100 g,58,"0,6g","7,2g","5,9g",,
Berry Bean Sundae,100 g,130,3g,23g,3g,,
Matcha Ogura Mochi,1 porsi (46 ml),120,"1,5g",28g,1g,,"10,00g"
Blueberry Yoghurt,1 porsi (65 g),40,1g,7g,0g,,"0,00g"
Mung Bean Ice Cream,100 g,100,5g,11g,2g,,"6,00g"
Cool Hawthorn Berry,1 porsi (45 g),45,0g,10g,0g,0mg,"0,00g"
Silverqueen Chocolate Cashew,100 ml,110,"4,5g",16g,3g,"10,00g","1,000g"
Frost Bite Cookies & Cream Mochi,1 bungkus (46 ml),140,2g,29g,1g,,"11,00g"
Es Krim Susu Telur,1 porsi (65 ml),70,"2,5g",11g,1g,,"1,00g"
Lu Ve Vanilla Brownies Strawberry Sauce,100 g,150,5g,23g,2g,,
Waku Waku Very Berry,1 stick (55 ml),60,0g,15g,1g,,"13,00g"
Durian,1 bungkus (45 ml),80,"3,5g",11g,1g,0mg,"1,00g"
Waku Waku Bubblegum Loop,1 porsi (55 g),70,1g,16g,0g,,"0,00g"
Concerto Sundae Chocolate,100 ml,140,6g,20g,3g,,"13,00g"
Happy Cow Rainbow Pops,1 stik (55 ml),80,3g,11g,2g,,"11,00g"
Mochi Coklat,1 bungkus (45 ml),70,2g,12g,1g,10mg,"1,00g"
Paddle Pop Choco Lava,1 porsi (56 ml),100,"3,5g",18g,1g,25mg,"1,500g"
Frost Bite Boba Milk Tea with Brown Sugar,1 porsi (60 g),150,6g,24g,1g,,"12,00g"
Dung Dung Kacang Merah,1 bungkus (38 g),120,7g,11g,1g,"9,00g","1,000g"
Olympia Choco Crunch,1 cangkir (80 ml),100,5g,14g,1g,,50mg
Obor Vanila,1 porsi (65 g),210,12g,24g,2g,0mg,"2,00g"
Max Swich,100 ml,220,13g,24g,3g,,55mg
Twister Marshmallow,1 stick (60 ml),60,1g,11g,1g,,"11,00g"
Cookies & Cream,100 g,59,"0,7g","6,7g","6,6g",,
Es Krim Cokelat dan Vanila,1 porsi (90 ml),80,"2,5g",13g,1g,,"0,000g"
Bingo,1 porsi (40 g),70,"2,5g",11g,1g,,"1,0g"
Mochi Strawberry,1 buah (45 ml),90,5g,11g,0g,,"0,00g"
Cookies Ice Cream,1 pack (85 g),200,10g,25g,3g,,640mg
Es Krim Mangga,1 porsi (65 g),80,0g,20g,0g,,10mg
Creamy Yogurt,1 porsi (75 g),130,8g,17g,1g,,"15,00g"
Mickey Ice Cream,1 porsi (75 ml),80,2g,13g,1g,,"13,00g"
Ice Milk,1 porsi (40 g),70,3g,12g,1g,0mg,"1,00g"
Choco Cookies,1 porsi (60 g),190,13g,18g,2g,,30mg
Crunchy Chocolate Vanilla,1 porsi (73 g),240,17g,21g,2g,,40mg
Es Susu Lapis Cokelat,1 porsi (40 g),70,"2,5g",11g,1g,,"1,00g"
King Fusion,1 porsi,237,10g,39g,4g,,
Ice Cream Cone,100 g,140,"3,5g",25g,2g,,
Mochi Kacang Merah,1 serving (45 ml),60,"0,5g",13g,0g,,"0,00g"
Haku Vanilla & Crispy Choco Monaka,100 ml,100,"2,5g",17g,2g,,"2,00g"
Histeria,1 porsi (70 ml),70,4g,8g,1g,"6,00g","0,000g"
Ice Cone,1 cone (120 g),190,"4,5g",32g,5g,,"24,00g"
Haku Monaka Choco,100 g,130,6g,16g,2g,,
CHOCO CORN,1 pack (80 ml),110,"2,5g",19g,2g,,"12,00g"
Cornetto Disc,1 cone (120 ml),260,12g,34g,3g,,"2,0g"
Paddle Pop Doraemon,1 porsi (60 ml),50,0g,12g,0g,"12,00g","0,000g"
Unicornetto,1 porsi (134 ml),200,7g,31g,2g,,"2,00g"
Vanilla Ice Cream,100 g,120,6g,15g,3g,,50mg
Milk Melon Cone,1 takaran saji (100 ml),170,10g,18g,2g,,"2,00g"
Sesame Crispy,1 bungkus (55 g),180,12g,19g,1g,,15mg
Brown Sugar Boba Ice Cream,1 porsi (60 ml),70,2g,12g,0g,,"7,00g"
Es Krim Kacang Hijau,100 ml,100,5g,11g,2g,,25mg
Frost Bite Crunchy Double Choco,1 bungkus (70 g),190,11g,21g,2g,,"14,00g"
Berry Choco Max,1 porsi (100 g),170,10g,18g,2g,,"2,00g"
Chocolate Flavoured Ice Cream with Wafer Finger,1 cone (110 ml),225,"13,7g","28,5g","2,6g",,"19,00g"
Hula Hula Durian,100 ml,120,5g,16g,2g,,50mg
Haku Strawberry & Crispy Choco Monaka,100 ml,140,7g,16g,1g,,"8,00g"
Milo Ice Cream,1 porsi (60 ml),109,6g,"13,4g","1,2g",,"11,00g"
Heart,1 porsi (85 g),170,12g,12g,2g,,
Es Podeng,1 gelas,300,"15,37g","39,59g","4,11g",144mg,5mg
Chocolate (Es Susu Lapis Cokelat),1 bungkus (50 g),110,4g,17g,1g,,"1,00g"
Cornetto Royale Love Match-A,1 porsi (135 ml),230,8g,36g,3g,,"1,0g"
Waku Waku Banana Choco Nut,1 porsi (60 ml),150,9g,17g,2g,,20mg
Frost Bite Double Choco & Nut,1 stick (65 ml),140,7g,18g,3g,,"10,00g"
Frost Bite Strawberry Sakura Mochi,1 kemasan (46 ml),120,"1,5g",27g,0g,,"18,00g"
Crunchy Chocolate Malt,1 bungkus (75 g),260,21g,18g,1g,,"17,00g"
Ketan Kismis,1 porsi (30 g),45,0g,11g,1g,,
Arabian Delight,1 cangkir (90 ml),110,"4,5g",16g,2g,50mg,"1,500g"
Es Krim Vanila Ringan (Sajian Lunak),1 porsi setengah mangkok,111,"2,29g","19,18g","4,31g",62mg,11mg
Es Krim Vanila Ringan (tanpa Tambahan Gula),1 porsi setengah mangkok,105,"5,07g","14,57g","2,7g",65mg,18mg
Strawberry Sundae,100 ml,90,"2,5g",14g,1g,,"1,00g"
Mochi Matcha Choco,1 bungkus (45 ml),120,"2,5g",23g,1g,,"23,00g"
Es Krim Mochi,1 porsi (30 g),70,1g,15g,1g,,15mg
Choco Nutty Crunch,100 g,140,6g,19g,3g,30mg,"1,500g"
Haku Monaka Choco Hazelnut,1 porsi (90 ml),130,6g,16g,2g,,35mg
Obor,1 porsi (65 g),140,6g,19g,2g,,35mg
Strawberry Cone,100 ml,140,8g,15g,2g,,55mg
Selection Strawberry Cheesecake,100 ml,100,"3,5g",16g,2g,35mg,"1,000g"
Waku Waku Choco Loop,1 porsi (35 ml),70,4g,7g,1g,,10mg
Happy Cow,1 porsi (85 ml),110,5g,14g,2g,,39mg
Sweet Corn,1 porsi (65 g),110,"4,5g",19g,1g,,30mg
Chocolate Strike,1 porsi (140 ml),130,6g,16g,2g,,"2,00g"
Dark Cookies,1 porsi (100 ml),160,8g,22g,2g,"14,00g","0,000g"
Frozen Cotton Candy,1 porsi (55 ml),80,3g,13g,1g,,30mg
Haku Monaka Vanilla,1 porsi (90 ml),140,7g,16g,2g,,"11,00g"
Frost Bite Pari Pari Vanilla (60g),1 porsi (60 ml),130,7g,15g,2g,,35mg
Ice Cream Sundae,100 g,185,6g,"29,4g","4,3g",95mg,13mg
3 in 1 Colors,1 sajian (95 g),160,8g,20g,4g,,"1,0g"
Fantasy Apel,1 kemasan (55 ml),50,0g,13g,0g,,"13,00g"
Haku Matcha,1 porsi (90 ml),230,14g,23g,2g,,30mg
Oreo Cookies & Cream Chocolate,100 ml,130,4g,21g,2g,,"21,00g"
Alpukat Chocolate,100 ml,120,6g,14g,1g,"9,00g","0,000g"
Chocolate Truffle,100 ml,130,6g,15g,2g,,
Es Krim Cappucino,1 bungkus (55 ml),150,8g,19g,1g,15mg,"1,000g"
Sexy Chocolate,100 g,84,"5,2g","3,9g","5,5g",,
Es Stik Rasa Semangka,1 bungkus (65 g),70,0g,16g,0g,,"0,00g"
Mung Bean,1 porsi (70 g),60,2g,9g,1g,,25mg
Magnum Classic,1 batang (70 g),200,15g,23g,2g,,"2,00g"
