nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Nasi Goreng Ayam,1 mangkok,329.0,"11,96g","41,82g","12,45g","1,39mg","5,201mg"
Usus Ayam Goreng,100 gram (g),345.0,"21,69g","19,84g","17,78g","0,26mg","5,684mg"
Ayam Goreng,100 gram (g),260.0,"14,55g","10,76g","21,93g","0,26mg","2,808mg"
Soto Ayam,1 mangkok,312.0,"14,92g","19,55g","24,01g","0,98mg","5,738mg"
Mie Ayam,1 mangkok,421.0,"18,74g","46,21g","16,7g","2,5mg","5,207mg"
Cumi Goreng,1 buah,12.0,"0,21g","0,96g","1,47g","0,06mg","0,036mg"
Terong Goreng,100 gram (g),148.0,"10,75g","11,58g","2,4g","2,41mg","4,569mg"
Nasi Goreng,1 mangkok,333.0,"12,34g","41,7g","12,47g","1,5mg","3,776mg"
Ikan Mujair Goreng,100 gram (g),169.0,"6,92g","2,22g","24,55g","0,19mg","3,45mg"
Ayam Panggang,"1 potong sedang (hasil setelah masak, tulang dihilangkan)",147.0,"8,36g",0g,"16,79g",0mg,"3,283mg"
Nasi Goreng tanpa Daging,1 mangkok,251.0,"9,1g","34,81g","7,02g","1,86mg","2,681mg"
Telur Goreng tanpa Lemak,1 besar,73.0,"4,93g","0,38g","6,24g","0,38mg","1,89mg"
Pangsit Goreng,1 buah,69.0,"3,77g","6,09g","2,52g","0,48mg","2,004mg"
Mie Ayam,1 porsi (190 g),360.0,"16,15g","49,87g","5,9g",0mg,0mg
Mi Goreng,1 bungkus (80 g),380.0,12g,52g,8g,680mg,0mg
Minyak Goreng,1 sdm (9 ml),70.0,8g,0g,0g,0mg,0mg
Kornet Ayam,1 takar saji (83 g),130.0,7g,3g,13g,"0,0mg","0,000mg"
Kari Ayam,1 bungkus (70 g),300.0,5g,54g,8g,0mg,"8,00mg"
Ayam Bawang,1 porsi (71 g),30.0,0g,7g,0g,"1,0mg","0,000mg"
Minyak Goreng,1 sendok makan (10 ml),80.0,9g,0g,0g,"0,0mg","1,000mg"
Mie Goreng,3 sendok makan (60 g),280.0,12g,38g,5g,0mg,"5,00mg"
Abon Ayam,1 porsi (25 g),110.0,5g,10g,7g,0mg,"7,00mg"
Nasi Goreng,1 porsi,680.0,13g,113g,28g,0mg,"113,00mg"
Mie Goreng,1 porsi (60 g),290.0,13g,37g,6g,0mg,"6,00mg"
Minyak Goreng,1 porsi (13 ml),120.0,13g,0g,0g,0mg,"0,00mg"
Kwetiau Goreng,100 g,338.0,"12,3g",18g,3g,0mg,"3,0mg"
Mi Goreng,1 bungkus (80 g),320.0,7g,58g,7g,640mg,0mg
Mie Goreng,1 bungkus (18 g),90.0,4g,12g,1g,0mg,"12,00mg"
Goreng Special,1 bungkus (60 g),230.0,4g,47g,2g,0mg,"2,00mg"
Nasi Goreng,100 g,168.0,"6,23g","21,06g","6,3g",0mg,"8,00mg"
Pisang Goreng,1/2 porsi (95 g),250.0,8g,41g,3g,0mg,"41,00mg"
Pangsit Goreng,1 porsi (100 g),69.0,"3,77g","6,09g","2,52g","0,2mg","2,004mg"
Kentang Goreng,100 g,180.0,"4,5g",31g,4g,0mg,"4,00mg"
Minyak Goreng,1 porsi (11 ml),90.0,10g,0g,0g,0mg,"5,000mg"
Mie Goreng,1 bungkus (78 g),370.0,16g,49g,7g,0mg,"7,00mg"
Minyak Goreng,1 sdm (11 ml),90.0,10g,0g,0g,0mg,"1,000mg"
Mie Goreng,1 bungkus (90 g),400.0,13g,61g,10g,1000mg,0mg
Mie Goreng,"1 porsi (11,25 g)",35.0,1g,6g,1g,0mg,"1,0mg"
Minyak Goreng,1 sdm (11 ml),90.0,10g,0g,0g,0mg,0mg
Minyak Goreng,1 sendok makan (10 ml),80.0,9g,0g,0g,"0,0mg","4,000mg"
Mie Goreng,2 sendok (50 g),200.0,9g,26g,4g,620mg,0mg
Indomie Goreng,1 serving (85 g),380.0,14g,54g,8g,1070mg,0mg
Bihunku Goreng,1 bungkus (60 g),230.0,4g,47g,2g,0mg,"47,00mg"
