Nama,Energy (kCal),Carbohydrates (g),Protein (g),Total Fat (g)
"Subway 6"" Roast Beef",320,45,24,5
Subway Footlong Roast Beef,640,90,48,10
"Subway 6"" Rotisserie Style Chicken",350,44,29,6
Subway Footlong Rotisserie Style Chicken,700,88,58,12
"Subway 6"" Spicy Italian",480,46,20,24
Subway Footlong Spicy Italian,960,92,40,48
"Subway 6"" Steak and Cheese",380,48,26,10
Subway Footlong Steak and Cheese,760,96,52,20
"Subway 6"" Subway Club",310,46,23,5
Subway Footlong Subway Club,620,92,46,10
"Subway 6"" Subway Melt (includes cheese)",370,47,23,11
Subway Footlong Subway Melt (includes cheese),740,94,46,22
"Subway 6"" Subway Seafood Sensation",420,51,13,19
Subway Footlong Subway Seafood Sensation,840,102,26,38
"Subway 6"" Sweet Onion Chicken Teriyaki",380,59,26,5
Subway Footlong Sweet Onion Chicken Teriyaki,760,118,52,10
"Subway 6"" Tuna",470,44,20,24
Subway Footlong Tuna,940,88,40,48
"Subway 6"" Turkey & Bacon Avocado",390,49,22,13
Subway Footlong Turkey & Bacon Avocado,780,98,44,26
Subway Kids Mini Sub Turkey Breast,180,30,10,2
"Subway 6"" Turkey Breast",280,46,18,4
Subway Footlong Turkey Breast,560,92,36,8
"Subway 6"" Turkey Breast & Ham",280,46,18,4
Subway Footlong Turkey Breast & Ham,560,92,36,8
"Subway 6"" Turkey Italiano Melt (with Provolone)",490,47,24,24
Subway Footlong Turkey Italiano Melt (with Provolone),980,94,48,48
Subway Kids Mini Sub Veggie Delite,150,29,6,2
"Subway 6"" Veggie Delite",230,44,8,3
Subway Footlong Veggie Delite,460,88,16,6
"Subway 6"" Veggie Patty",390,56,23,7
Subway Footlong Veggie Patty,780,112,46,14
Subway Autumn Carved Turkey Salad,300,26,25,9
Subway B.L.T. Salad,150,10,10,8
Subway Big Hot Pastrami Melt Salad,400,12,23,29
Subway Big Philly Cheesesteak Salad,330,17,32,16
Subway Black Forest Ham Salad,110,11,12,3
Subway Buffalo Chicken Salad (with Ranch dressing),360,13,20,26
Subway Carved Turkey & Bacon w/ Cheese Salad,280,11,28,12
Subway Carved Turkey Salad,150,8,19,4
Subway Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),510,14,30,38
Subway Cold Cut Combo Salad,180,12,12,11
Subway Double Chicken Salad,220,10,36,5
Subway Italian B.M.T.® Salad,230,12,14,15
Subway Italian Hero Salad,230,13,14,15
Subway Meatball Marinara Salad,310,25,16,17
Subway Oven Roasted Chicken Salad,140,10,19,3
Subway Roast Beef Salad,140,10,18,4
Subway Spicy Italian Salad,310,11,15,23
Subway Steak & Cheese Salad,210,14,20,8
Subway Subway Club Salad,140,11,17,4
Subway Subway Melt® Salad,200,13,18,10
Subway Sweet Onion Chicken Teriyaki Salad,200,24,20,3
Subway Tuna Salad,310,10,15,24
Subway Turkey Breast & Ham Salad,110,11,12,3
Subway Turkey Breast Salad,110,11,12,2
Subway Veggie Delite Salad,50,9,3,1
Subway Chipotle Southwest Steak & Cheese Wrap,760,65,43,37
Subway Rotisserie-Style Chicken Caesar Wrap,730,53,55,34
"Subway Turkey, Bacon & Guacamole Wrap",810,62,43,42
Subway Cheese & Veggies Pizza,740,100,36,25
Subway Cheese Pizza,680,96,32,22
Subway Pepperoni Pizza,790,96,38,32
Subway Sausage Pizza,820,97,39,34
Taco Bell 1/2 lb.* Cheesy Potato Burrito,540,59,19,26
Taco Bell 1/2 lb.* Combo Burrito,460,53,21,18
Taco Bell 7-Layer Burrito,510,68,16,19
Taco Bell Bean Burrito,370,56,13,11
Taco Bell Beefy 5-Layer Burrito,550,68,19,22
Taco Bell Beefy Fritos® Burrito,440,55,13,18
Taco Bell Black Bean Burrito,410,62,14,12
Taco Bell Burrito Supreme® – Beef,420,53,16,16
Taco Bell Burrito Supreme® - Chicken,390,52,19,12
Taco Bell Burrito Supreme® - Steak,390,52,17,13
Taco Bell Cantina Power Burrito - Chicken,760,96,32,27
Taco Bell Cantina Power Burrito - Steak,780,98,33,28
Taco Bell Cantina Power Burrito - Veggie,740,107,20,26
Taco Bell Cheesy Bean and Rice Burrito,420,55,11,17
Taco Bell Chili Cheese Burrito,380,41,16,17
Taco Bell Chicken Crunchy Cheesy Core Burrito,610,74,25,24
Taco Bell Steak Crunchy Cheesy Core Burrito,610,75,25,24
Taco Bell Beef Crunchy Cheesy Core Burrito,630,76,22,26
Taco Bell Loaded Taco Burrito,550,52,20,29
Taco Bell Chicken Quesarito,620,64,24,30
Taco Bell Steak Quesarito,630,64,25,31
Taco Bell Beef Quesarito,650,65,22,34
Taco Bell Shredded Chicken Burrito,400,45,16,18
Taco Bell Smothered Burrito - Beef,710,70,28,35
Taco Bell Smothered Burrito - Shredded Chicken,650,67,34,28
Taco Bell Smothered Burrito - Steak,670,68,35,29
Taco Bell Chicken Spicy Cheesy Core Burrito,540,66,24,20
Taco Bell Steak Spicy Cheesy Core Burrito,550,66,24,21
Taco Bell Beef Spicy Cheesy Core Burrito,570,68,22,23
Taco Bell Triple Melt Burrito,410,50,15,16
Taco Bell XXL Grilled Stuft Burrito - Beef,880,94,31,42
Taco Bell XXL Grilled Stuft Burrito - Chicken,830,91,37,35
Taco Bell XXL Grilled Stuft Burrito - Steak,820,91,33,36
Taco Bell Chicken Soft Taco,170,18,12,6
Taco Bell Cool Ranch® Doritos® Double Decker® Taco,320,36,13,14
Taco Bell Cool Ranch® Doritos® Locos Taco,160,13,8,10
Taco Bell Cool Ranch® Doritos® Locos Taco Supreme,200,15,9,12
Taco Bell Crunchy Taco,170,12,8,10
Taco Bell Crunchy Taco Supreme®,200,15,9,12
Taco Bell Double Decker® Taco,320,37,13,14
Taco Bell DOUBLE DECKER® Taco Supreme®,350,40,14,16
Taco Bell Spicy Sweet Double Stacked Taco,340,32,12,18
Taco Bell Cool Ranch Habanero Double Stacked Taco,350,30,13,20
Taco Bell Nacho Crunch Double Stacked Taco,380,39,13,19
Taco Bell Fiery Doritos® Double Decker® Taco,320,36,14,13
Taco Bell Fiery Doritos® Locos Taco,170,12,8,10
Taco Bell Fiery Doritos® Locos Taco Supreme,200,15,9,12
Taco Bell Grilled Steak Soft Taco,250,19,11,14
Taco Bell Nacho Cheese Doritos® Double Decker® Taco,320,36,14,13
Taco Bell Nacho Cheese Doritos® Locos Tacos,170,13,8,9
Taco Bell Nacho Cheese Doritos® Locos Tacos Supreme,200,15,9,11
Taco Bell Soft Taco Supreme® – Beef,230,22,10,11
Taco Bell Soft Taco-Beef,200,19,10,9
Taco Bell Spicy Potato Soft Taco,250,28,6,13
Taco Bell Chalupa Supreme® - Chicken,340,29,16,18
Taco Bell Chalupa Supreme® - Steak,340,29,14,18
Taco Bell Chalupa Supreme®–Beef,370,31,13,21
Taco Bell Double Chalupa,600,50,21,35
Taco Bell Wild Naked Chicken Chalupa,420,23,19,28
Taco Bell Mild Naked Chicken Chalupa,440,22,20,30
Taco Bell Spicy Double Chalupa,600,52,21,35
Taco Bell Fresco Bean Burrito,350,57,11,9
Taco Bell Fresco Burrito Supreme® – Chicken,340,50,17,8
Taco Bell Fresco Burrito Supreme® – Steak,340,50,15,9
Taco Bell Fresco Chicken Soft Taco,150,18,11,4
Taco Bell Fresco Crunchy Taco,140,13,6,8
Taco Bell Fresco Grilled Steak Soft Taco,150,19,9,4
Taco Bell Fresco Soft Taco,170,20,8,7
Taco Bell Cheesy Gordita Crunch,490,39,20,29
Taco Bell Doritos® Cheesy Gordita Crunch - Cool Ranch,490,40,20,28
Taco Bell Doritos® Cheesy Gordita Crunch - Fiery,490,40,20,28
Taco Bell Doritos® Cheesy Gordita Crunch - Nacho Cheese,490,40,20,28
Taco Bell Double Cheesy Gordita Crunch,570,44,25,32
Taco Bell Gordita Supreme® – Beef,300,31,13,14
Taco Bell Gordita Supreme® - Chicken,270,29,16,10
Taco Bell Gordita Supreme® - Steak,270,29,14,11
Taco Bell Nacho Fries Bellgrande,710,73,13,41
Taco Bell Nachos BellGrande®,760,82,18,39
Taco Bell Nachos Supreme,430,44,12,23
Taco Bell Triple Layer Nachos,320,41,7,15
Taco Bell Triple Melt Nachos,260,19,10,16
Taco Bell Beefy Cheddar Crunchwrap Slider,410,46,14,19
Taco Bell Beefy Mini Quesadilla,210,17,9,12
Taco Bell Beefy Nacho Griller,420,49,12,19
Taco Bell BLT Crunchwrap Slider,430,43,12,23
Taco Bell Cantina Power Bowl - Chicken,560,64,26,22
Taco Bell Cantina Power Bowl - Steak,580,66,27,23
Taco Bell Cantina Power Bowl - Veggie,540,75,14,21
Taco Bell Cheese Quesadilla,480,40,19,27
Taco Bell Cheese Roll-Up,190,18,9,9
Taco Bell Chicken Quesadilla,520,41,27,28
Taco Bell Chickstar,620,53,17,37
Taco Bell Chili Cheese Burrito,380,41,16,17
Taco Bell Chipotle Crispy Chicken Griller,290,22,9,18
Taco Bell Crispy Chicken Quesadilla,650,51,26,37
Taco Bell Crunchwrap Supreme®,540,71,16,21
Taco Bell Double Tostada,270,32,12,11
Taco Bell Express Taco Salad w/ Chips,580,59,23,29
Taco Bell Loaded Potato Griller,470,55,13,22
Taco Bell Mexican Pizza,540,47,20,31
Taco Bell MexiMelt®,270,21,14,14
Taco Bell Steak Quesalupa,440,36,22,23
Taco Bell Chicken Quesalupa,440,37,22,23
Taco Bell Beef Quesalupa,460,38,19,26
Taco Bell Shredded Chicken Mini Quesadilla,180,15,12,8
Taco Bell Spicy Chicken Crunchwrap Slider,400,42,15,20
Taco Bell Spicy Tostada,200,22,7,10
Taco Bell Stacker,390,39,18,18
Taco Bell Steak Quesadilla,520,41,25,28
Taco Bell Original Triple Double Crunchwrap,700,85,23,30
Taco Bell Spicy Triple Double Crunchwrap,780,87,23,38
Taco Bell Express Taco Salad w/ Chips,580,59,23,29
Taco Bell Fiesta Taco Salad-Beef,780,74,26,42
Taco Bell Fiesta Taco Salad-Chicken,720,70,32,35
Taco Bell Fiesta Taco Salad-Steak,720,70,28,36
Nasi,180,"39,8","3,0","0,3"
Nasi tim,120,"26,0","2,4","0,4"
Tapai beras,99,"22,4","1,7","0,3"
"Tepung beras, mentah",353,"80,0","7,0","0,5"
Nasi beras merah,149,"32,5","2,8","0,4"
"Bihun, mentah",348,"82,1","4,7","0,1"
Bihun goreng instan,381,"80,3","6,1","3,9"
"Bihun Jagung, mentah",354,"87,4","0,5","0,3"
Nasi jagung,357,"79,5","8,8","0,5"
"Jagung muda, rebus",142,"30,3","5,0","0,7"
"Jagung kuning, tepung",355,"73,7","9,2","3,9"
"Jagung kuning pipil, rebus",154,"28,4","3,8","3,5"
Tepung jagung putih,355,"73,7","9,2","3,9"
Ketupat ketan,212,"38,6","4,0","4,6"
"Ketan hitam, matang",181,"37,3","4,0","1,2"
Tapai ketan hitam,166,"34,4","3,8","1,0"
"Ketan putih, matang",163,"35,7","3,0","0,4"
Tapai ketan putih,172,"37,5","3,0","0,5"
"Maizena, tepung",341,"85,0","0,3",0
"Makaroni, mentah",353,"78,7","8,7","0,4"
Mi basah,88,"14,0","0,6","3,3"
Mi kering,339,"6,3","10,0","1,7"
Misoa,345,"78,0","8,5","2,2"
Roti putih,248,"50,0","8,0","1,2"
Tepung terigu,333,"77,2","9,0","1,0"
Amparan tatak,191,"34,0","1,3","5,5"
"Apang kukus, kue",202,"46,7","3,0","0,3"
"Apem, kue",148,"33,9","2,0","0,5"
Biskuit,458,"75,1","6,9","14,4"
"Bakpia, kue",272,"44,1","8,7","6,7"
Bakwan,280,"39,0","8,2","10,2"
Bantal,190,"43,5","3,3","0,3"
Baruasa,417,"79,3","6,5","8,2"
Batar daan,107,"19,6","2,2","2,2"
Bika ambon,199,"44,4","2,1","1,5"
Bingka,273,"39,1","5,3","10,6"
Bobengka,225,"45,2","5,3","2,6"
Bolu peca,197,"35,6","3,3","4,6"
Brem,249,"58,0","3,4","0,4"
Bubur tinotuan (Manado),156,"15,6","2,3","0,2"
Cake tape,323,"50,1","4,9","11,5"
Cangkuning,204,"31,4","2,8","7,5"
Dodol bali,298,"65,9","3,7","2,1"
Dodol galamai,348,"76,1","0,4","3,8"
Dodol kedondong,331,"63,8","1,9","7,6"
Dodol manado,373,"51,9","4,3","16,5"
Emping beras,403,"85,3","10,6","2,2"
Gemblong,274,"55,5","1,7","5,4"
Gendar goreng,407,"32,0","6,4","28,2"
Intip goreng,474,"62,3","7,6","21,6"
Jagung gerontol,156,"33,3","2,7","1,3"
Jagung titi,374,"79,1","9,4","2,2"
Japilus,500,"67,3","1,2","25,1"
Kakicak,296,"36,7","3,4","15,1"
Kambose,164,"32,6","3,0","2,4"
Kapusa,158,"27,8","4,4","3,2"
Keddo bodong,290,"55,2","4,6","5,7"
"Kelepon, kue",215,"41,8","3,7","3,7"
Kereput,580,"51,1","4,8","39,6"
Ketoprak,153,"13,0","7,9","7,7"
Ketupat kandangan,109,"13,4","2,2","5,2"
Koya,366,"77,5","4,2","4,3"
Koya mirasa,370,"82,2","8,0","1,0"
Koyabu,241,"47,2","3,4","4,3"
Kue ali,440,"64,5","3,8","18,5"
Kue bangen,442,"74,2","3,3","14,7"
Kue gelang,448,"70,0","5,8","16,1"
Kue jahe,425,"84,6","1,6","8,8"
Kue kelapa,591,"47,5","5,6","42,1"
Kue koa,340,"79,3","4,8","0,4"
Kue ku temu,214,"49,6","3,5","0,2"
Kue lumpur,291,"44,1","3,6","11,1"
Kue pelita,141,"17,6","5,3","5,5"
Kue putu cangkir,304,"54,9","5,3","7,0"
Kue sus,221,"24,8","7,5","10,2"
Kue thipan,247,"49,5","2,9","4,2"
Laksa/Putu mayang,121,"21,1","1,7","3,4"
Lapis legit,389,"55,5","6,6","15,7"
Lupis ketan,164,"34,5","1,8","2,1"
Manan samin,379,"50,6","3,4","18,1"
Martabak india,153,"24,3","4,5","4,2"
Martabak mesir,278,"45,0","5,1","8,6"
Masekat,369,"74,1","2,1","7,0"
Mie aceh rebus,113,"18,1","3,0","3,2"
Mie ayam,102,"10,5","6,2","3,9"
Mie bakso,114,"16,4","5,3","3,0"
Mie celon,102,"17,8","3,0","2,1"
Mie pangsit basah,105,"9,4","5,9","4,9"
Nasi gemuk,192,"24,4","3,8","8,8"
Nasi gurih,190,"26,0","4,7","7,5"
Nasi minyak,207,"37,1","3,5","5,0"
Nasi rames,155,"19,1","10,3","4,2"
Nopia spesial,387,"74,3","5,3","7,6"
Onde-onde,336,"57,9","4,0","9,8"
Padamaran,171,"18,8","3,9","8,9"
Pastel,307,"42,4","4,5","13,3"
Pulut,216,"44,4","2,6","3,1"
Pundut nasi,104,"15,1","1,9","4,1"
Putri selat,163,"23,8","2,2","6,5"
Putu sopa,215,"41,1","3,3","4,1"
Renggi goreng,471,"64,1","4,7","21,8"
Roti boong,341,"43,3","5,5","16,2"
Roti warna sawo matang,249,"49,7","7,9","1,5"
Sarimuka,166,"32,9","2,3","2,8"
Spaghetti,139,"22,6","7,4","2,1"
Srikaya ketan,265,"49,1","2,7","6,4"
Sunduk lawang,181,"32,4","1,9","1,3"
Suwir-suwir,347,"84,2","0,5","0,9"
Tipa-tipa,355,"79,8","6,2","1,2"
Wajit camilan,303,"63,3","6,3","2,7"
Widaran,424,"80,7","1,3","10,7"
Wingko babat,355,"51,4","3,2","15,1"
Yangko,254,"58,1","3,0","1,1"
Putri hijau,189,"37,2","5,4","2,1"
"Beras giling, mentah",357,"77,1","8,4","1,7"
"Beras giling var pelita, mentah",369,"77,1","9,5","1,4"
"Beras giling var rojolele, mentah",357,"77,1","8,4","1,7"
"Beras hitam, mentah",351,"76,9","8,0","1,3"
"Beras jagung kuning, kering, mentah",358,"82,7","5,5","0,1"
"Beras jagung putih, kering, mentah",307,"71,8","4,8","0,1"
"Beras ketan hitam tumbuk, mentah",360,"74,5","8,0","2,3"
"Beras ketan putih tumbuk, mentah",361,"78,4","7,4","0,8"
"Beras ladang, mentah",376,"78,0","7,5","3,8"
"Beras menir, mentah",362,"73,0","7,7","4,4"
Beras parboiled,353,"80,0","6,8","0,6"
"Beras tumbuk, mentah",354,"79,9","7,8","0,4"
"Beras tumbuk merah, mentah",352,"76,2","7,3","0,9"
"Cantel, mentah",366,"73,0","11,0","3,3"
"Jagung muda, kuning, mentah",147,"31,5","5,1","0,7"
"Jagung kuning pipil, kering, mentah",366,"69,1","9,8","7,3"
"Jagung pipil var. harapan, kering",367,"76,2","6,2","5,1"
"Jagung pipil var. metro, kering",368,"78,0","5,5","4,6"
"Jali, mentah",324,"61,0","11,0","4,0"
"Jawawut, mentah",364,"73,4","9,7","3,5"
"Jampang huma, mentah",350,"78,2","6,2","1,4"
"Batatas kelapa, ubi, bakar",110,"23,4","1,4","1,1"
"Batatas kelapa, ubi, kukus",92,"21,0","1,2","0,3"
"Batatas tali, ubi, rebus",182,"42,2","2,4","0,4"
"Belitung, talas, kukus",145,"34,2","1,2","0,4"
"Bentul, talas, kukus",71,"15,4","2,3","0,3"
"Gadung, ubi, kukus",88,"20,9","0,6","0,3"
"Ganyong, rebus",100,"23,8","0,8","0,2"
Ketela pohon/singkong kukus,153,"36,4","1,2","0,3"
"Suweg, talas, kukus",93,"21,9","1,5","0,1"
"Talas bogor, kukus",120,"28,2","1,5","0,3"
"Ubi jalar, kuning, kukus",100,"23,8","0,7","0,3"
Ubi jalar tinta/ kemayung kukus,165,"39,8","0,9","0,2"
Bagea kelapa asin,450,"78,1","3,2","13,9"
Bagea kelapa manis,452,"80,6","1,3","13,8"
Bagea kenari asin,529,"63,6","3,2","29,1"
Bagea kenari manis,523,"64,2","3,2","28,2"
Bagea kw 1,416,"76,3","6,5","9,4"
Bagea kw 2,382,"87,2","0,3","3,5"
Beras Cerdas,350,"82,3","2,7","1,1"
Beras ganyong,364,"86,3","3,4","0,7"
Beras Siger,344,"28,3","1,1","0,2"
Biji nangka/Biji salak,262,"51,1","2,3","5,4"
Bubur sagu,167,"33,0","0,2","4,0"
Cassavastick,460,"17,2","0,8","18,7"
Ceriping getuk singkong,462,"67,7","1,2","20,7"
Gatot,347,"83,8","1,3","0,7"
Geblek,195,"44,4","0,4","1,7"
Getuk goreng,360,"74,3","1,3","6,4"
Getuk singkong,204,"47,4","0,5","1,4"
Gurandil,218,"48,5","0,5","2,5"
Kabuto,250,"35,4","2,6","2,5"
Kapurung,41,"7,8","2,0","0,3"
Kecimpring singkong goreng,464,"73,0","1,2","18,6"
Keremes,475,"64,4","1,6","25,2"
Keripik gadung,446,"76,0","2,8","14,5"
Keripik kentang,448,"67,1","2,7","18,8"
Keripik singkong,478,"72,0","0,9","20,7"
Keripik singkong berbumbu,481,"73,6","2,2","19,7"
Keripik ubi,486,"67,6","0,2","23,9"
Kerupuk cumi goreng,444,"71,3","6,9","14,6"
Kerupuk kemplang (ikan) mentah,325,"78,5","1,8","0,4"
Kerupuk kemplang goreng,504,"57,1","5,6","28,1"
Kerupuk kemplang panggang,356,"76,9","9,7","1,1"
Kerupuk mie kuning goreng,476,"71,3","0,1","21,1"
Kerupuk udang goreng,477,"68,5","4,7","20,5"
Kue bangket,338,"80,3","1,5","1,2"
Kue putu singkong,217,"53,2","1,2","0,5"
Lanting getuk,422,"80,4","0,9","10,8"
Mi golosor,71,"15,9","0,2","0,8"
Mie Bendo,353,"88,0","0,3",0
Mie Sagu,190,"46,5","0,2","0,4"
Ongol-ongol sagu,111,"21,2","0,3","2,7"
Oyek,351,"84,9","0,9","0,9"
Papeda,61,"14,9","0,2","0,1"
Rasbi (Beras Ubi),394,"76,6","2,2","8,8"
Rasi (Beras Singkong),350,"85,7","0,9","0,4"
Sagu forno,291,"63,4","0,5","4,0"
Sagu Lemak (Kue Sagon),452,"76,8","2,8","14,8"
Sagu manis,287,"62,4","0,5","3,9"
Sagu Rendang,364,"90,5","0,1","0,2"
Sagu sinole,354,"68,9","0,8","8,3"
Serimping talas kebumen,478,"69,2","2,5","21,2"
Tapai singkong,169,"40,2","1,4","0,3"
Tepung Arrowroot,355,"85,2","0,7","0,2"
Tepung Ganyong,353,"83,6","0,8","1,7"
Tepung Gaplek,345,"83,1","2,4","0,4"
"Tepung kentang, kering",347,"85,6","0,3","0,1"
Tepung Mocaf,350,"85,0","1,2","0,6"
Tepung Sente,326,"76,7","4,0","0,4"
Tepung singkong/ Tapioka,363,"88,2","1,1","0,5"
Tepung Tales Beneng,332,"76,1","5,7","0,6"
Tepung Ubi Ungu,354,"84,4","2,8","0,6"
Tiwul,353,"83,4","2,4","1,1"
Tiwul Instan,395,"76,5","3,2","8,5"
Ubi Cilembu,186,"44,3","1,9","0,2"
Uli batatas,150,"27,4","1,1","4,0"
"Arrowroot, segar",102,"24,1","1,0","0,2"
"Batatas gembili, segar",76,"16,0","1,1","0,9"
"Batatas kelapa, ubi, segar",89,"21,0","1,1","0,1"
"Belitung, talas, segar",145,"34,2","1,2","0,4"
"Bengkuang, segar",59,"12,8","1,4","0,2"
"Bentul (Komba), talas, segar",98,"20,9","1,6","0,7"
"Gadeng/Gadung, kering",322,"76,6","2,4","0,6"
"Gadung, ubi, segar",100,"23,5","0,9","0,3"
"Ganyong, segar",77,"18,4","0,6","0,2"
"Gembili, ubi, segar",131,"31,3","1,1","0,2"
"Hofa/Ubi hutan, segar",127,"29,5","1,2","0,5"
"Kaburan, ubi, segar",133,"32,2","1,0","0,2"
"Kentang, segar",62,"13,5","2,1","0,2"
"Kentang hitam, segar",142,"33,7","0,9","0,4"
"Keribang, ubi, segar",137,"29,8","1,3","1,1"
"Ketela pohon/ singkong, segar",154,"36,8","1,0","0,3"
Lepok/Ubi rumput,181,"39,8","2,8","1,2"
"Sagu aren, kering",355,"85,6","0,6","1,1"
"Sagu aren, segar",231,"56,6","0,6","0,2"
Sagu kasbi segar,230,"56,5","0,6","0,2"
Sagu lempeng,347,"85,2","0,9","0,3"
"Sagu singkong, kering",362,"86,9","0,5","0,3"
"Sente, talas, segar",353,"84,7","0,7","0,2"
"Suweg, talas, segar",74,"17,2","1,4","0,1"
"Talas bogor, segar",108,"25,0","1,4","0,4"
"Talas pontianak, segar",163,"36,4","2,3","0,5"
"Talas viqueque, segar",115,"25,9","1,8","0,5"
"Ubi jalar, kuning, segar",119,"25,1","0,5","0,4"
"Ubi jalar manis, segar",83,"18,8","1,5","0,2"
"Ubi jalar merah, segar",151,"35,4","1,6","0,3"
"Ubi jalar putih, segar",88,"20,6","0,4","0,4"
Ubi jalar tinta/ kemayung,108,"25,6","0,5","0,4"
"Umbi Uwi, segar",120,"82,3","2,8","0,5"
"Kacang belimbing (kecipir), rebus",204,"17,5","16,9","8,8"
"Kacang bogor, goreng",479,"58,9","12,7","23,2"
"Kacang bogor, rebus",161,"27,1","7,7","2,8"
"Kacang gude, rebus",147,"27,5","9,0","0,5"
"Kacang hijau, rebus",109,"18,3","8,7","0,5"
"Kacang kedelai, goreng",521,"22,9","32,2","37,7"
"Kacang kedelai, rebus",189,"12,7","20,2","8,2"
"Kacang merah kering, rebus",158,"28,2","10,3","0,9"
"Kacang merah segar, rebus",144,"24,7","10,0","1,0"
"Kacang mete/biji jambu monyet, goreng",629,"19,8","20,4","56,3"
Kacang tanah rebus dg kulit,360,"12,8","13,5","31,2"
"Kacang tanah, goreng",564,"25,5","25,5","44,4"
"Kacang tanah, rebus",220,"8,0","10,6","18,0"
"Kacang tolo / tunggak, rebus",138,"22,6","10,7","1,1"
Ampas kacang hijau,96,"19,1","3,7","0,6"
"Ampas tahu, mentah",67,"8,1","5,0","2,1"
Ampas tahu kukus,75,"10,7","4,1","2,1"
"Ampas tahu, kering",414,"41,3","26,6","18,3"
Pepes oncom ampas tahu,76,"10,6","5,2","1,8"
Bungkil biji karet,333,"50,0","29,3","3,3"
Bungkil kacang tanah,336,"30,5","37,4","13,0"
Bungkil kelapa,368,"40,0","23,0","15,0"
Dodol banjarmasin,368,"70,0","2,6","8,6"
Emping (kerupuk melinjo),345,"71,5","12,0","1,5"
Emping komak,355,"60,7","17,8","4,6"
Enting-enting gepuk hello kity,538,"52,6","13,6","30,3"
Enting-enting gepuk kacang tanah,524,"52,0","13,3","29,2"
Enting-enting wijen,565,"36,8","18,2","38,4"
Geplak,350,"53,6","1,4","14,4"
Geplak jahe,462,"57,7","3,1","24,4"
Kacang atom,533,"28,8","27,8","38,1"
Kacang goyang,516,"44,4","14,7","31,1"
Kacang negara,480,"58,5","18,4","19,1"
Kacang sukro,484,"57,7","8,8","26,1"
Kacang tanah sari,561,"26,0","25,5","43,8"
Keju kacang tanah (peanut butter),590,"20,9","27,0","49,0"
Kembang tahu,380,"23,3","48,9","13,8"
Kembang tahu rebus,90,"4,7","10,7","4,0"
Keripik oncom,598,"42,6","8,3","43,8"
Keripik tempe,581,"41,7","12,1","40,6"
Keripik tempe abadi besar,556,"39,8","15,8","37,1"
Keripik tempe abadi murni,542,"11,6","40,3","42,4"
Keripik tempe abadi sedang,510,"52,4","12,3","27,9"
Keripik tempe abadi telur,529,"40,2","20,8","31,7"
Keripik tempe abadi prima,540,"42,0","16,7","33,9"
Kwaci,515,"13,8","30,6","42,1"
Melinjo emping tebal goreng manis,439,"65,7","10,0","16,4"
"Melinjo emping tebal, goreng asin",431,"63,0","11,1","16,2"
Melinjo emping tipis goreng,485,"59,1","11,5","24,5"
Moon tahu,128,"1,3","8,0","10,0"
Oncom,187,"22,6","13,0","6,0"
Oncom ampas kacang hijau,376,"65,7","14,9","6,0"
Oncom kacang hijau + singkong,351,"65,9","11,0","5,3"
Oncom kacang tanah pepes,132,"13,7","12,7","3,8"
Rempeyek kacang tanah,513,"44,3","17,5","32,5"
Rempeyek kacang tolo,451,"59,7","11,2","20,2"
Rempeyek kacang uci,497,"50,8","17,0","27,6"
Sayur lebui,64,"12,5","2,1","0,6"
"Saridele, bubuk",344,"43,0","30,0","20,0"
Susu kedelai,41,"5,0","3,5","2,5"
"Tahu, mentah",80,"0,8","10,9","4,7"
Tahu goreng,115,"2,5","9,7","8,5"
Tahu telur,328,"24,6","12,6","19,9"
Takwa,148,"4,0","13,8","8,5"
Tauco,184,"22,2","11,4","5,5"
"Tauco cap beruang, cake",347,"67,6","7,4","5,2"
"Tauco cap DAS, cake",358,"70,4","7,5","4,3"
Tauco cap meong,159,"21,3","7,4","4,9"
Tauji cap singa,277,"49,6","9,1","4,7"
Tempe bongkrek,119,"18,3","4,4","3,5"
Tempe gembus P3G,73,"10,3","5,7","1,3"
Tempe gembus yogya,76,"10,6","6,8","0,7"
Tempe kacang babi,139,"21,9","12,5","0,8"
Tempe kecipir (kacang belimbing),212,"12,9","17,5","10,0"
Tempe kedelai + jagung,143,"11,4","12,0","5,5"
"Tempe kedelai murni, goreng",350,"10,4","24,5","26,6"
"Tempe kedelai murni, mentah",201,"13,5","20,8","8,8"
Tempe koro benguk,141,"23,2","10,2","1,3"
Tempe lamtoro,128,"21,3","10,7","0,5"
Tempe lamtoro var. gung dengan kulit,146,"19,6","11,7","2,3"
Tempe lamtoro var. gung tanpa kulit,131,"13,0","18,0","0,8"
Tempe pasar,150,"9,1","14,0","7,7"
Tempe pasar goreng,336,"7,8","20,0","28,0"
Tepung hunkwe (pati kacang ijo),364,"83,5","4,5","1,0"
Tepung Jalejo,388,"61,2","19,0","7,5"
Tepung kacang kedelai,347,"29,9","35,9","20,6"
"Kacang arab, kering",330,"60,2","23,8","1,4"
"Kacang babi, kering",341,"51,3","30,4","3,2"
"Kacang belimbing (kecipir), kering",400,"34,1","34,4","16,9"
"Kacang beracun, segar",118,"21,6","4,4","1,5"
"Kacang bogor, kering",370,"65,0","16,0","6,0"
"Kacang bogor, segar",165,"27,4","7,7","3,1"
"Kacang endel, biji, kering",331,"58,0","25,0","1,0"
"Kacang ercis, segar",129,"18,3","12,4","0,7"
"Kacang galing, segar",336,"59,5","23,1","1,7"
