Nama,Energy (kCal),Carbohydrates (g),Protein (g),Total Fat (g)
Pizza Hut Veg kebab (Medium),202.06,14.33,6.12,13.36
Pizza Hut Chicken Seekh Kebab (Medium),204.75,7.37,8.42,15.73
Pizza Hut Classic Paneer Capsicum & Onion,443.87,57.4,12.87,18.09
Pizza Hut Schezwan Meatball & Capsicum,401.27,50.98,10.44,17.29
Pizza Hut Spicy Baked Chicken Wings,140.22,6.77,14.12,8.7
Pizza Hut Garlic Bread,246.73,18.45,3.58,17.63
Pizza Hut Garlic Bread Spicy Supreme,270.17,29.21,5.27,14.7
Pizza Hut Cheesy Comfort (Veg),332.02,28.68,18.81,15.78
Pizza Hut Cheesy Comfort (Chicken),439.02,29.6,20.35,26.58
Pizza Hut Indi Rockin Roll - Veg,289.81,28.58,11.81,14.25
Pizza Hut Indi Rockin Roll - Chicken,255.65,27.07,12.32,10.9
Pizza Hut Zesty Pocket (Veg),192.91,22.1,5.7,9.08
Pizza Hut Zesty Pocket (Chicken),157.99,18.01,6.97,6.45
Pizza Hut Baked Momos (Veg),218.975,17.99,6.1,13.62
Pizza Hut Baked Momos (Chicken),223.71,15.72,9.94,13.45
Pizza Hut Tear and Share (Veg),424.82,45.21,14.65,20.6
Pizza Hut Tear and Share (Chicken),442.46,48.92,18.47,19.22
Pizza Hut Choco Vanilla Romance,90.48,17.93,1.36,1.62
Pizza Hut Ebony & Ivory,201.84,34.73,1.38,6.52
Pizza Hut Choco Chip Cookie Sundae (Regular),433.72,68.66,6.39,15.12
Pizza Hut Jamuntini,134,32.18,0.21,0.38
Pizza Hut Masal Pepsi,126.5,30.93,0.21,0.38
Pizza Hut Masala Mirinda,156.5,38.18,0.21,0.38
Pizza Hut Pepsi,107.5,27.25,0,0
Pizza Hut 7 up,115,28.5,0,0
Pizza Hut Mirinda,137.5,34.5,0,0
Pizza Hut Lipton Ice Tea Lemon Flavoured,0,0,0,0
Pizza Hut Pepsi Black,74,18.6,0,0
Burger King Crispy veg,426.7,52,8.4,20.6
Burger King BK veggie,398.2,52.4,8.6,17.2
Burger King Veg Chilli Cheese,422.6,50.6,11.6,19.3
Burger King Paneer king,525.8,67.1,14,22.4
Burger King Veg Supreme,374.1,49.2,11.5,16.5
Burger King Veg Surprise,385.1,51.7,10.3,15.3
Burger King Veg Whopper,749,100.6,11,31.4
Burger King Masala Whopper Veg,753.2,94.7,19,33.2
Burger King BK Grill,332.1,36.7,15.3,13.8
Burger King Chicken Tandoori Grill,369.1,35.5,24.1,14.6
Burger King Chicken Chilli Cheese,406.1,47.9,16.8,16.4
Burger King Chicken kheema,369.1,45.8,12.1,15.3
Burger King Crispy chicken,345.2,39,12.4,15.5
Burger King Xtra Long chicken,533.5,61.1,23.4,21.7
Burger King Chicken whopper,662,60.3,33.2,38.3
Burger King Mutton Whopper,624.2,71,12.5,30.4
Burger King Fiery chicken (South),400,61.7,22.9,16.2
Burger King Fiery Chicken (North & West),409.1,61.9,23.1,18.1
Burger King Masala Whopper Chicken,664.9,68,33.3,28.9
Burger King Masala Whopper Mutton,631.4,69.3,29.3,26.4
Burger King Chicken fries 5 pcs,206,19.9,10.9,9.2
Burger King Chicken fries 9 pcs,370.7,35.8,19.6,16.6
Burger King Chicken wings Fried ( 2Pcs),167.5,0.9,17.7,10.3
Burger King Chicken wings Fried ( 4Pcs),332.8,1.8,35.2,20.5
Burger King Chicken wings Fried ( 8Pcs),665.7,3.6,70.4,41.1
Burger King Chicken wings Fried ( 15Pcs),1224,6.6,129.4,75.5
Burger King Chicken wings Grilled ( 2Pcs),167.5,18.1,13.8,4.4
Burger King Chicken wings Grilled ( 4Pcs),335,36.2,27.7,8.8
Burger King Chicken wings Grilled ( 8Pcs),669.9,72.4,55.4,17.7
Burger King Chicken wings Grilled ( 15Pcs),1275.5,137.8,105.4,33.6
Burger King Fiery Rings 2Pcs,137.6,18,3.5,5.7
Burger King Fiery Rings 4Pcs,275.3,36,7,11.5
Burger King Veg strips 3 Pcs,136.6,16.7,2.7,6.5
Burger King Veg strips 6 Pcs,273.2,33.5,6.2,5.4
Burger King Potato Tots 8 Pcs,155.9,21,2.6,7.1
Burger King Fries Regular,263.9,37.7,4.4,10.6
Burger King Medium Fries,406.6,58.1,7.5,6.8
Burger King King fries,535,76.5,9.9,8.9
Burger King Cheesy fries,460.9,56.2,8.1,22.6
Burger King Cheesy Italian fries,530.9,63,10.8,26.1
Burger King Chicken keema Fries,541.4,55.9,15.3,28.5
"Starbucks Sausage, Egg & Cheddar Classic Breakfast Sandwich",500,41,15,28
"Starbucks Reduced-Fat Turkey-Style Bacon, Cheddar & Egg WhiteBreakfast Sandwich",230,28,13,6
"Starbucks Bacon, Gouda & Egg on Artisan Roll",350,30,17,18
"Starbucks Spinach, Feta & Egg White Breakfast Wrap",290,33,19,10
"Starbucks Roasted Ham, Swiss & Egg on Croissant Bun",450,42,19,23
Starbucks Egg & Cheddar on English Muffin,280,27,12,13
Starbucks Double Smoked Bacon,490,40,17,27
Starbucks Whole Grain Oatmeal,160,28,5,2.5
Starbucks Maple Brown Sugar,50,13,0,0
Starbucks Dried Fruit,100,24,1,0.4
Starbucks Nut Medley,100,2,2,10
Starbucks Cherry Oat Bar,240,36,3,8
Starbucks Double Chocolate Chunk Brownie,380,41,4,23
Starbucks Gluten Free Marshmallow Dream Bar,240,45,2,5
Starbucks Oat Fudge Bar,360,45,5,20
Starbucks Blueberry Bar,250,35,4,13
Starbucks Oat Bar,360,43,6,19
Starbucks Chocolate Chunk Cookie,380,54,5,19
Starbucks Gluten Free Flourless Chocolate Cookie,170,30,2,5
Starbucks Fruit & Oat Cookie,370,52,6,15
Starbucks Multigrain Bagel,290,58,14,3
Starbucks Everything with Cheese Bagel,270,54,10,2
Starbucks Asiago & Cheddar Pretzel,360,46,16,12
Starbucks Butter Croissant,270,28,6,14
Starbucks Chocolate Croissant,330,35,6,17
